,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p
79,ENSDARG00000055837,3.1047400649684595e-134,ENSDARG00000086618,0.0,ENSDARG00000056481,0.0,ENSDARG00000025375,1.4834524771770106e-266,ENSDARG00000036784,2.4512035182359694e-138,ENSDARG00000061436,9.718720273840112e-78,ENSDARG00000089354,1.216192918839764e-84,ENSDARG00000069116,2.9329483594368124e-90,ENSDARG00000057624,1.2699160070750458e-34,ENSDARG00000089836,4.744820097314551e-50,ENSDARG00000053129,8.268612799434002e-46,ENSDARG00000041397,2.0044492928476854e-95,ENSDARG00000098574,6.243910299911398e-196,ENSDARG00000076074,2.387254572028657e-22,ENSDARG00000016889,4.9690667651668995e-89,ENSDARG00000015343,1.4477344853579039e-64,ENSDARG00000045017,6.02544433726141e-28,ENSDARG00000002731,6.074158309175033e-186,ENSDARG00000029415,1.464433478308579e-24,ENSDARG00000075014,1.4743846768342558e-48,ENSDARG00000074266,8.1873761593059465e-25,ENSDARG00000101785,1.1883102138347168e-29,ENSDARG00000043757,1.6279915543467542e-44,ENSDARG00000000069,2.058698584671982e-18,ENSDARG00000095627,3.254873472214047e-36,ENSDARG00000095627,4.1326438420535046e-19,ENSDARG00000024844,2.0068509563037777e-83,ENSDARG00000020482,7.363541584266815e-94,ENSDARG00000003584,1.5420143313963174e-20,ENSDARG00000026829,1.807172136870928e-18,ENSDARG00000089354,4.2436936048819004e-11,ENSDARG00000061235,4.247255829739298e-11
80,ENSDARG00000104138,6.3096966063841534e-133,ENSDARG00000099532,0.0,ENSDARG00000056410,0.0,ENSDARG00000094673,2.294790646402756e-263,ENSDARG00000004261,2.526125984675873e-138,ENSDARG00000020618,1.078848713991434e-77,ENSDARG00000018953,7.116095529893427e-82,ENSDARG00000076836,5.470146655090208e-90,ENSDARG00000019213,1.4691717362509166e-34,ENSDARG00000022340,1.1654739182904396e-49,ENSDARG00000074667,1.2532416841876745e-44,ENSDARG00000038075,7.415513215131622e-95,ENSDARG00000017781,1.4642610535107376e-195,ENSDARG00000020448,2.4537298383785543e-22,ENSDARG00000006915,2.223856382172118e-87,ENSDARG00000101306,1.7471519670665684e-64,ENSDARG00000015757,1.0233598793215286e-27,ENSDARG00000070623,2.007805549719234e-184,ENSDARG00000086391,1.6143400421343206e-24,ENSDARG00000091079,2.9480597830935247e-48,ENSDARG00000076836,1.09661376229108e-24,ENSDARG00000020301,5.72732000016567e-28,ENSDARG00000055510,2.5643765294036933e-44,ENSDARG00000008407,3.092211882941475e-18,ENSDARG00000104110,4.115309549456967e-36,ENSDARG00000092609,4.1978757777304366e-19,ENSDARG00000008735,4.6307002205047015e-83,ENSDARG00000036784,7.44618785284569e-94,ENSDARG00000019008,3.167895249189202e-20,ENSDARG00000002732,2.8469764976353435e-18,ENSDARG00000044612,4.33312882584774e-11,ENSDARG00000056583,4.7400159955136135e-11
81,ENSDARG00000033596,7.770602638506457e-133,ENSDARG00000030038,0.0,ENSDARG00000056627,0.0,ENSDARG00000012747,8.755333045157775e-263,ENSDARG00000100114,1.5512830053995745e-135,ENSDARG00000074201,1.3639158796082967e-77,ENSDARG00000020618,1.315731504871557e-81,ENSDARG00000033789,7.758513590841765e-90,ENSDARG00000098700,1.555616711206541e-34,ENSDARG00000074848,1.390011117643651e-49,ENSDARG00000045180,5.788776994623853e-44,ENSDARG00000037259,7.854277744571961e-95,ENSDARG00000016239,4.61150599279733e-191,ENSDARG00000036625,3.910064647025884e-22,ENSDARG00000074908,2.615407654605018e-87,ENSDARG00000102874,4.542622381502251e-64,ENSDARG00000070682,1.4748393882190446e-27,ENSDARG00000091563,1.2176391818012565e-183,ENSDARG00000058597,1.8575991593482348e-24,ENSDARG00000039390,1.2596200055639727e-47,ENSDARG00000103483,1.1927764379882871e-24,ENSDARG00000044584,2.3187330723522382e-27,ENSDARG00000033596,4.297061997507735e-44,ENSDARG00000098466,5.389247208160548e-18,ENSDARG00000039338,4.392808919120818e-36,ENSDARG00000010784,4.403777431658174e-19,ENSDARG00000100514,6.492592195177835e-83,ENSDARG00000096118,2.0445300165969414e-92,ENSDARG00000076223,4.723627593169186e-20,ENSDARG00000040192,4.435017423363742e-18,ENSDARG00000019008,5.058149982618935e-11,ENSDARG00000038154,5.036455212267758e-11
82,ENSDARG00000008884,2.0839432458660586e-132,ENSDARG00000013382,0.0,ENSDARG00000042824,0.0,ENSDARG00000103619,9.220224760169339e-258,ENSDARG00000041363,1.7310800370882092e-135,ENSDARG00000019487,2.45050254404068e-77,ENSDARG00000052966,1.875915684994623e-81,ENSDARG00000052840,4.62025243350646e-87,ENSDARG00000102874,1.030807812218057e-33,ENSDARG00000045017,3.870800861981e-49,ENSDARG00000054849,1.5689841762755422e-42,ENSDARG00000008740,1.8942200987419568e-94,ENSDARG00000101082,4.265183157530643e-187,ENSDARG00000016687,2.338128965390557e-21,ENSDARG00000104726,3.079655263807138e-86,ENSDARG00000104413,5.915282207396311e-63,ENSDARG00000031388,3.3075107233060504e-27,ENSDARG00000008947,1.3663979979589316e-183,ENSDARG00000087457,1.9219305491424006e-24,ENSDARG00000028957,4.263432200403882e-46,ENSDARG00000069496,4.7969717354081844e-24,ENSDARG00000020625,5.556658890074983e-27,ENSDARG00000102599,5.246574419589366e-44,ENSDARG00000008447,2.1995456529976946e-17,ENSDARG00000011555,5.720286283191342e-36,ENSDARG00000044612,4.495340788565046e-19,ENSDARG00000061228,7.994449541445881e-83,ENSDARG00000100514,1.0087832050765096e-89,ENSDARG00000043287,5.274488115415889e-20,ENSDARG00000069135,4.5535307973815025e-18,ENSDARG00000095627,5.427111701049749e-11,ENSDARG00000102640,5.98325864980839e-11
83,ENSDARG00000074201,4.0782288074998505e-132,ENSDARG00000041051,0.0,ENSDARG00000059725,0.0,ENSDARG00000019213,3.6987113590123914e-255,ENSDARG00000053404,1.6446933891368275e-134,ENSDARG00000036481,2.994438348039089e-77,ENSDARG00000013741,3.1074256180778623e-81,ENSDARG00000042337,3.0704733007231083e-86,ENSDARG00000070108,1.5883885143193303e-33,ENSDARG00000038075,4.6801402335005115e-49,ENSDARG00000054823,2.4686875072479526e-42,ENSDARG00000052840,1.103893084573243e-93,ENSDARG00000020448,2.760670301206855e-186,ENSDARG00000086740,2.6146099639674367e-21,ENSDARG00000010784,3.0922082371563977e-86,ENSDARG00000029415,6.241695477520654e-63,ENSDARG00000102340,1.691912268053957e-26,ENSDARG00000026712,9.302694782885414e-181,ENSDARG00000021343,2.1172522142449328e-24,ENSDARG00000041203,1.34059755942049e-45,ENSDARG00000098589,6.888783628937793e-24,ENSDARG00000074989,8.082746318815834e-27,ENSDARG00000043635,5.90242884829404e-44,ENSDARG00000023766,3.910801350617712e-17,ENSDARG00000007804,6.701230706058239e-36,ENSDARG00000052010,4.863920852659144e-19,ENSDARG00000068978,3.497282278887073e-82,ENSDARG00000053656,5.150559948896439e-89,ENSDARG00000098942,1.2909841660302878e-19,ENSDARG00000008224,4.974999995750281e-18,ENSDARG00000059367,6.140300781478691e-11,ENSDARG00000039915,8.4325269534914e-11
84,ENSDARG00000039915,4.234019885231625e-132,ENSDARG00000004470,0.0,ENSDARG00000029587,0.0,ENSDARG00000015759,5.774140262060818e-253,ENSDARG00000038154,2.58565352371742e-134,ENSDARG00000078653,4.255728068225468e-77,ENSDARG00000020442,7.896566079752588e-81,ENSDARG00000056831,3.5411601575906785e-85,ENSDARG00000014013,3.420502595968238e-33,ENSDARG00000101680,9.101690748655296e-49,ENSDARG00000079632,6.068368822364203e-42,ENSDARG00000103101,1.0126686854312987e-91,ENSDARG00000055868,1.8494028405374784e-181,ENSDARG00000074848,3.8782593597223625e-21,ENSDARG00000070682,8.547508893317035e-86,ENSDARG00000040890,1.2989061127922346e-62,ENSDARG00000043287,3.745928563432248e-26,ENSDARG00000022280,1.2599132652920501e-179,ENSDARG00000033596,2.8736698177819202e-24,ENSDARG00000011170,4.258916897932298e-45,ENSDARG00000040890,1.2444359763310735e-23,ENSDARG00000045888,8.612078381355656e-27,ENSDARG00000039345,1.387529946477529e-43,ENSDARG00000070589,4.311782268880317e-17,ENSDARG00000098130,7.409213732436616e-36,ENSDARG00000104110,6.550577631324979e-19,ENSDARG00000058328,4.061730272491732e-82,ENSDARG00000039005,7.061667740765776e-89,ENSDARG00000020625,1.3030409258531685e-19,ENSDARG00000045017,5.98828048051239e-18,ENSDARG00000019765,6.804992046040757e-11,ENSDARG00000104031,1.176404925159292e-10
85,ENSDARG00000093440,6.168269953227412e-132,ENSDARG00000029445,0.0,ENSDARG00000041332,0.0,ENSDARG00000079632,1.9933275034905872e-252,ENSDARG00000037958,1.2390315952700752e-133,ENSDARG00000043465,9.307872627288918e-77,ENSDARG00000055837,1.327317619500648e-80,ENSDARG00000077301,3.7822613266193417e-85,ENSDARG00000032296,4.6665172509492556e-33,ENSDARG00000042534,2.475397974259506e-48,ENSDARG00000004060,1.077916811685889e-39,ENSDARG00000019765,1.6969458325880264e-91,ENSDARG00000071573,1.9259545102727152e-180,ENSDARG00000016477,6.3179914738991276e-21,ENSDARG00000021905,2.2586333452510475e-85,ENSDARG00000025338,1.369543967400149e-62,ENSDARG00000006915,3.146162714641495e-25,ENSDARG00000009657,1.655845648186762e-176,ENSDARG00000015392,3.1470351337627915e-24,ENSDARG00000012672,9.901323621598134e-45,ENSDARG00000037618,1.6391793974335368e-23,ENSDARG00000070435,1.3901342004993408e-26,ENSDARG00000057910,1.461306401296766e-43,ENSDARG00000023217,4.4045005063546384e-17,ENSDARG00000039719,1.3850664734996452e-35,ENSDARG00000003584,9.148035387016772e-19,ENSDARG00000039390,4.792896231628515e-82,ENSDARG00000056122,8.263009875375977e-89,ENSDARG00000019496,1.5370807911465971e-19,ENSDARG00000043635,7.147719123954553e-18,ENSDARG00000054749,8.160301283730799e-11,ENSDARG00000088357,1.3349363895180288e-10
86,ENSDARG00000001734,9.585969377200822e-131,ENSDARG00000096668,0.0,ENSDARG00000004785,0.0,ENSDARG00000021550,5.475646927288373e-248,ENSDARG00000012682,1.0847744690567412e-132,ENSDARG00000054833,1.5195695061299198e-75,ENSDARG00000053405,2.8993337488800437e-80,ENSDARG00000076486,2.540732667779615e-84,ENSDARG00000006487,5.347054702143186e-33,ENSDARG00000027418,4.3907737343090816e-48,ENSDARG00000054300,5.3719345892296174e-39,ENSDARG00000007285,3.951984901860359e-91,ENSDARG00000052840,4.148505277084451e-179,ENSDARG00000035741,6.510715830207714e-21,ENSDARG00000022340,5.395672315690052e-85,ENSDARG00000069048,7.3857150352930675e-62,ENSDARG00000019765,3.1513932764787233e-25,ENSDARG00000037488,3.443008801156859e-173,ENSDARG00000036489,5.941077575790678e-24,ENSDARG00000027529,1.2085751371603367e-44,ENSDARG00000040861,1.7601204762282608e-23,ENSDARG00000068036,4.08056608342276e-26,ENSDARG00000044612,2.4811383811901408e-43,ENSDARG00000044751,4.619501388700291e-17,ENSDARG00000045017,1.4073349106227008e-35,ENSDARG00000101306,1.0318137067085153e-18,ENSDARG00000029445,2.455132753244842e-81,ENSDARG00000054696,8.934519522759353e-89,ENSDARG00000043465,1.65732695491017e-19,ENSDARG00000043757,2.9152472479084076e-17,ENSDARG00000023188,9.116888138193526e-11,ENSDARG00000026829,1.3511039576482403e-10
87,ENSDARG00000009350,4.819971810046699e-130,ENSDARG00000038768,0.0,ENSDARG00000004470,0.0,ENSDARG00000010051,1.0835579261903137e-243,ENSDARG00000015392,1.6894065234770468e-130,ENSDARG00000043287,3.1484907799234964e-75,ENSDARG00000043757,4.851135701957284e-80,ENSDARG00000052011,9.80921519821505e-83,ENSDARG00000070589,5.889630925008548e-33,ENSDARG00000074266,7.46360414472885e-48,ENSDARG00000105009,5.561124492701179e-39,ENSDARG00000037421,6.872903230902538e-91,ENSDARG00000018426,7.525011805539903e-179,ENSDARG00000039390,8.866398907923296e-21,ENSDARG00000043465,1.244869946233281e-84,ENSDARG00000068156,1.198780145580359e-61,ENSDARG00000034616,5.684945246978529e-25,ENSDARG00000042319,1.7380629296985988e-170,ENSDARG00000006487,6.4465705166372565e-24,ENSDARG00000044751,1.8643166394188794e-44,ENSDARG00000104071,3.3407650236165867e-23,ENSDARG00000014506,2.7107436111535803e-25,ENSDARG00000019008,3.61243885159766e-43,ENSDARG00000045886,1.0660011678347119e-15,ENSDARG00000002732,7.649084739669893e-35,ENSDARG00000008224,1.1168802364711636e-18,ENSDARG00000039150,1.681967721826714e-80,ENSDARG00000019941,2.1755513553653706e-88,ENSDARG00000068262,2.0207163681619913e-19,ENSDARG00000033604,3.0129117256363836e-17,ENSDARG00000043554,9.185023854933278e-11,ENSDARG00000096829,1.3711243515408991e-10
88,ENSDARG00000044584,1.9646451132325826e-129,ENSDARG00000069855,0.0,ENSDARG00000058328,0.0,ENSDARG00000036784,9.709290698063177e-243,ENSDARG00000016721,8.433029444675611e-128,ENSDARG00000020442,4.851684169308598e-75,ENSDARG00000076554,1.2668607792548069e-79,ENSDARG00000098108,1.837803035992357e-82,ENSDARG00000056605,3.4813794272984877e-32,ENSDARG00000017093,8.140034117915501e-48,ENSDARG00000029353,1.5243006663506896e-38,ENSDARG00000015889,5.20728989048663e-89,ENSDARG00000004785,1.0922063429921062e-176,ENSDARG00000103118,1.1697058408884349e-20,ENSDARG00000102100,1.4653264315321859e-84,ENSDARG00000030278,2.99882411533193e-61,ENSDARG00000019008,9.627724285416842e-25,ENSDARG00000036005,4.434239738730835e-165,ENSDARG00000053405,7.481056398602173e-24,ENSDARG00000008785,1.0310232116299716e-43,ENSDARG00000092609,3.544827018747544e-23,ENSDARG00000023217,3.1678291493699233e-25,ENSDARG00000021343,1.4095843393507298e-42,ENSDARG00000104018,1.3081251533671397e-15,ENSDARG00000044612,8.82733274263454e-35,ENSDARG00000013628,1.3351449811399024e-18,ENSDARG00000003526,1.6884524437964974e-80,ENSDARG00000035625,3.7367140821949255e-88,ENSDARG00000054849,2.459481111110701e-19,ENSDARG00000042332,3.154290316249951e-17,ENSDARG00000104413,9.558660502133287e-11,ENSDARG00000103714,1.3866503757085447e-10
89,ENSDARG00000095627,2.1495767587338588e-129,ENSDARG00000091079,0.0,ENSDARG00000040440,0.0,ENSDARG00000054749,1.770146662389421e-242,ENSDARG00000061235,1.3725249684093592e-126,ENSDARG00000074908,3.6794520413984086e-73,ENSDARG00000012016,6.219812640963429e-79,ENSDARG00000043502,4.744903197409461e-81,ENSDARG00000053656,4.2304368621740474e-32,ENSDARG00000013016,4.011929925092231e-47,ENSDARG00000020607,1.5756723572944316e-38,ENSDARG00000035914,1.9012602831322605e-88,ENSDARG00000019941,2.4622941932036866e-176,ENSDARG00000012016,1.1945696305924205e-20,ENSDARG00000045017,1.8226091007434728e-84,ENSDARG00000035741,3.0266191735946114e-61,ENSDARG00000027200,5.237055629410475e-24,ENSDARG00000035918,8.76999637857713e-163,ENSDARG00000054164,8.757922750760037e-24,ENSDARG00000074667,2.303946486783789e-43,ENSDARG00000053685,3.7289254269150854e-23,ENSDARG00000015088,4.4902268164653125e-25,ENSDARG00000039757,2.1185166718367856e-42,ENSDARG00000027355,4.779194930895518e-15,ENSDARG00000055009,1.2056012308083205e-34,ENSDARG00000002732,1.6267747400993774e-18,ENSDARG00000103594,3.268232843202534e-79,ENSDARG00000045359,1.4628861721231696e-87,ENSDARG00000020618,3.002276547823662e-19,ENSDARG00000074908,3.525692650204206e-17,ENSDARG00000076554,1.0462433353580533e-10,ENSDARG00000078785,1.5583682520327118e-10
90,ENSDARG00000019213,4.6928443026673246e-129,ENSDARG00000020232,0.0,ENSDARG00000017844,0.0,ENSDARG00000059373,8.366243836301991e-240,ENSDARG00000037421,2.779021927813639e-126,ENSDARG00000104071,5.0765092171706285e-73,ENSDARG00000008383,9.13603696378982e-79,ENSDARG00000087554,6.269402257152886e-81,ENSDARG00000015208,1.0098133491529164e-31,ENSDARG00000001734,4.496196408471453e-47,ENSDARG00000031952,1.7199345975345864e-38,ENSDARG00000052371,4.065572942382109e-88,ENSDARG00000045928,3.262602810451327e-176,ENSDARG00000091563,1.8334875769838417e-20,ENSDARG00000039543,2.206085010509104e-84,ENSDARG00000052966,6.600752103521223e-61,ENSDARG00000038559,1.3158141740466749e-23,ENSDARG00000014914,2.1862495578416883e-161,ENSDARG00000071426,1.4042535666140184e-23,ENSDARG00000041108,5.472362979276278e-43,ENSDARG00000036625,4.391239915392328e-23,ENSDARG00000024846,5.016684688288995e-25,ENSDARG00000020442,4.200115859753621e-42,ENSDARG00000043465,6.9579268395859076e-15,ENSDARG00000043402,1.2777995483538737e-34,ENSDARG00000045017,1.6502405573070128e-18,ENSDARG00000059367,5.946035704591669e-79,ENSDARG00000069855,5.7407909683855595e-87,ENSDARG00000087303,3.4344297361558106e-19,ENSDARG00000021343,4.4775906217317925e-17,ENSDARG00000020618,1.0641155581960781e-10,ENSDARG00000103118,1.5939150365880562e-10
91,ENSDARG00000099918,5.200040882326838e-129,ENSDARG00000013522,0.0,ENSDARG00000002644,0.0,ENSDARG00000016864,1.4575820668333499e-238,ENSDARG00000104708,5.542248020168022e-126,ENSDARG00000002165,7.961571833319942e-73,ENSDARG00000009087,1.548935228393831e-78,ENSDARG00000013075,2.184534813629003e-80,ENSDARG00000030038,5.881671326934539e-31,ENSDARG00000056903,2.0850926611479296e-46,ENSDARG00000008936,2.620404028447e-38,ENSDARG00000104889,4.768503138847623e-88,ENSDARG00000076815,5.748749283258431e-176,ENSDARG00000043554,3.354982775516619e-20,ENSDARG00000040890,3.0074219943264386e-84,ENSDARG00000039719,8.466315579647851e-61,ENSDARG00000007804,3.443995425253539e-23,ENSDARG00000025522,2.9152338163779813e-161,ENSDARG00000098443,1.5674054142879648e-23,ENSDARG00000102640,8.38430658679534e-43,ENSDARG00000045696,6.370100494934268e-23,ENSDARG00000055876,9.661238681731758e-25,ENSDARG00000008884,6.137532509818054e-42,ENSDARG00000026068,7.464135288454509e-15,ENSDARG00000088357,2.392391601541397e-34,ENSDARG00000015889,2.0150855711967177e-18,ENSDARG00000002644,1.082006930472783e-78,ENSDARG00000053395,7.062452728626012e-87,ENSDARG00000035858,3.759093440964916e-19,ENSDARG00000024314,5.256653644481658e-17,ENSDARG00000101306,1.5471315425415892e-10,ENSDARG00000039719,1.774418749379996e-10
92,ENSDARG00000044612,1.7182651150345272e-128,ENSDARG00000079632,0.0,ENSDARG00000076815,0.0,ENSDARG00000007867,3.7451846731055406e-225,ENSDARG00000104889,7.447201411932492e-125,ENSDARG00000009350,1.2511274759836836e-72,ENSDARG00000078653,1.5618936524700515e-78,ENSDARG00000014898,2.831529481914213e-79,ENSDARG00000037618,2.0943727939058344e-30,ENSDARG00000101306,3.301149294288677e-46,ENSDARG00000059933,1.9363642681222965e-37,ENSDARG00000068156,5.514314992678877e-88,ENSDARG00000069855,2.4700901116604516e-175,ENSDARG00000058079,3.3884550359516843e-20,ENSDARG00000098130,6.408718363228032e-84,ENSDARG00000069116,1.1481199400634074e-60,ENSDARG00000025693,6.565962073590546e-23,ENSDARG00000069496,2.6233013133228283e-159,ENSDARG00000031216,1.7839354149400485e-23,ENSDARG00000014230,2.3878786327965257e-42,ENSDARG00000093440,6.943617787491345e-23,ENSDARG00000102599,1.02024230129876e-24,ENSDARG00000052966,6.469087091052252e-42,ENSDARG00000006487,1.0181753438020195e-14,ENSDARG00000043665,3.109050990118776e-34,ENSDARG00000045886,2.705760046868296e-18,ENSDARG00000089877,2.1350110287171494e-78,ENSDARG00000086411,8.702293469714316e-87,ENSDARG00000002165,5.442430304882448e-19,ENSDARG00000092609,5.846917798987926e-17,ENSDARG00000029415,1.745281539000848e-10,ENSDARG00000029587,2.096703117496199e-10
93,ENSDARG00000079688,2.9679379530905353e-128,ENSDARG00000009534,0.0,ENSDARG00000004956,0.0,ENSDARG00000059298,4.594313353091599e-220,ENSDARG00000069360,7.772918020790843e-122,ENSDARG00000018953,9.428004897942984e-72,ENSDARG00000043465,4.052697350917066e-78,ENSDARG00000091656,3.448205199396093e-79,ENSDARG00000020301,3.269668928979633e-30,ENSDARG00000030278,7.135125263044547e-46,ENSDARG00000020448,4.95687813112061e-37,ENSDARG00000039915,2.5812021354647915e-87,ENSDARG00000086411,4.3408816160122784e-175,ENSDARG00000104940,6.94077106847381e-20,ENSDARG00000068156,3.2146718138175128e-83,ENSDARG00000024465,1.2545491073228533e-60,ENSDARG00000016477,6.98112810063461e-23,ENSDARG00000103962,2.7942431113923075e-154,ENSDARG00000020301,1.9163030261082246e-23,ENSDARG00000009313,1.048835617951105e-41,ENSDARG00000098700,8.314905507062784e-23,ENSDARG00000023062,1.0963921488590713e-24,ENSDARG00000042851,6.600521065436977e-42,ENSDARG00000017844,1.1611479761029636e-14,ENSDARG00000037259,3.1806723118943357e-34,ENSDARG00000017093,2.7243123800327012e-18,ENSDARG00000016443,7.332594153434632e-78,ENSDARG00000021405,1.0282180800214065e-86,ENSDARG00000021905,1.7014956201608154e-18,ENSDARG00000098017,6.643513341189796e-17,ENSDARG00000008740,1.828381248111505e-10,ENSDARG00000037421,2.29320495410828e-10
94,ENSDARG00000052966,9.681167870251511e-128,ENSDARG00000041203,0.0,ENSDARG00000095623,0.0,ENSDARG00000070674,3.6571297366454916e-219,ENSDARG00000070828,1.7417577323867048e-121,ENSDARG00000001734,1.1250855414619993e-71,ENSDARG00000095627,7.724980393795364e-78,ENSDARG00000041108,1.279031397384233e-78,ENSDARG00000052377,3.414688542248107e-30,ENSDARG00000062479,1.3946285146687714e-45,ENSDARG00000015759,1.0190661541314875e-36,ENSDARG00000020679,4.439067692152787e-87,ENSDARG00000007385,1.2056644716966593e-167,ENSDARG00000023766,9.71586343880133e-20,ENSDARG00000014914,1.289554156340037e-82,ENSDARG00000041397,1.7019757071093347e-60,ENSDARG00000079848,2.638138350632778e-22,ENSDARG00000043003,4.724706508454524e-153,ENSDARG00000020007,3.490001768568665e-23,ENSDARG00000097478,1.578799156651179e-41,ENSDARG00000025338,8.34487966647582e-23,ENSDARG00000013628,2.0788945851294297e-24,ENSDARG00000055009,9.22130100805769e-42,ENSDARG00000009313,2.0197859387384242e-14,ENSDARG00000024465,3.931800244832123e-33,ENSDARG00000007377,4.5075733676275736e-18,ENSDARG00000037188,1.0390029636566708e-77,ENSDARG00000074667,1.5177726118841984e-86,ENSDARG00000038980,1.758152640411779e-18,ENSDARG00000009350,7.065915542634978e-17,ENSDARG00000036489,2.0623945195288818e-10,ENSDARG00000019732,2.3903113711349976e-10
95,ENSDARG00000036489,1.966057630425538e-127,ENSDARG00000054696,0.0,ENSDARG00000014366,0.0,ENSDARG00000035810,9.733851921301801e-219,ENSDARG00000033604,2.50017869455137e-120,ENSDARG00000037000,4.055299925408999e-71,ENSDARG00000021905,1.3022951465363958e-77,ENSDARG00000025977,3.6414276251886196e-78,ENSDARG00000040890,3.66684715503479e-30,ENSDARG00000103714,1.478642755047458e-45,ENSDARG00000039150,1.4317009945345129e-36,ENSDARG00000055360,5.569794019047914e-87,ENSDARG00000021973,1.1022370220260424e-166,ENSDARG00000006397,2.3125639139484765e-19,ENSDARG00000101306,1.4105893718651754e-82,ENSDARG00000045676,2.3493657667871142e-60,ENSDARG00000028546,4.81365779954002e-22,ENSDARG00000077126,1.0967269602312579e-151,ENSDARG00000045017,4.271690971106565e-23,ENSDARG00000104837,1.532361129670343e-40,ENSDARG00000069360,8.609301739057061e-23,ENSDARG00000006514,3.6558747006573406e-24,ENSDARG00000059070,1.8407847858571637e-41,ENSDARG00000030463,2.817281585538531e-14,ENSDARG00000071046,8.034775932253668e-33,ENSDARG00000020301,4.518218982358143e-18,ENSDARG00000028957,5.12134304289292e-77,ENSDARG00000044402,2.388595186332811e-86,ENSDARG00000070108,2.036290122108306e-18,ENSDARG00000020618,9.030283464816434e-17,ENSDARG00000068886,2.2343374652280705e-10,ENSDARG00000093549,2.647933883427463e-10
96,ENSDARG00000030463,2.0096589017847333e-127,ENSDARG00000003795,0.0,ENSDARG00000039579,0.0,ENSDARG00000039005,2.7752434197599106e-216,ENSDARG00000074848,2.118287241998098e-119,ENSDARG00000020497,1.1662980604059258e-70,ENSDARG00000044612,2.1395341544518564e-77,ENSDARG00000089413,7.356068828239472e-78,ENSDARG00000054696,4.2243603576941886e-30,ENSDARG00000096829,1.5777893366601182e-45,ENSDARG00000095623,2.9991985136274805e-36,ENSDARG00000043402,1.0542956774313826e-85,ENSDARG00000054696,1.5452332089106268e-165,ENSDARG00000045490,3.0836385482947054e-19,ENSDARG00000053404,2.425884265606026e-82,ENSDARG00000023766,2.6410207822506544e-60,ENSDARG00000057598,5.7206396510014995e-22,ENSDARG00000090194,5.45776858275732e-150,ENSDARG00000098017,4.4501498488465325e-23,ENSDARG00000055868,3.8469025655240675e-40,ENSDARG00000015495,1.264249583801261e-22,ENSDARG00000010032,7.52859394232773e-24,ENSDARG00000055360,2.403487351166763e-41,ENSDARG00000035282,2.9122313544895945e-14,ENSDARG00000043554,1.6956914243590108e-32,ENSDARG00000055009,6.752335265063718e-18,ENSDARG00000086411,2.7696453949066476e-76,ENSDARG00000022280,3.1307757204101897e-85,ENSDARG00000055510,2.502730776124872e-18,ENSDARG00000057910,1.1416186985918313e-16,ENSDARG00000030278,2.360933128751401e-10,ENSDARG00000012747,2.961939183434334e-10
97,ENSDARG00000027825,2.5102951146236165e-127,ENSDARG00000015385,0.0,ENSDARG00000069855,0.0,ENSDARG00000097691,1.4460009489811015e-215,ENSDARG00000041397,2.5161382464732446e-119,ENSDARG00000092609,1.7194260844605834e-70,ENSDARG00000063921,4.0916025847723434e-77,ENSDARG00000036456,9.787456833312585e-78,ENSDARG00000001760,5.483303751737421e-30,ENSDARG00000056803,3.563675406633192e-45,ENSDARG00000023151,4.8200436977230413e-36,ENSDARG00000039543,1.0663576975602316e-85,ENSDARG00000013333,1.516736426380612e-161,ENSDARG00000036995,3.813025614908098e-19,ENSDARG00000007760,6.662985530118461e-82,ENSDARG00000015201,4.8362472058570395e-60,ENSDARG00000075549,1.0155199844459486e-21,ENSDARG00000055874,5.24157905624746e-147,ENSDARG00000068886,4.497595450413318e-23,ENSDARG00000004906,2.1861411903237736e-39,ENSDARG00000016864,2.095825515881942e-22,ENSDARG00000036820,1.1732996146731424e-23,ENSDARG00000030278,2.572863075546475e-41,ENSDARG00000005576,3.769959457686264e-14,ENSDARG00000038154,4.386135400682394e-32,ENSDARG00000069099,9.446972564701765e-18,ENSDARG00000018426,2.7763938050387364e-76,ENSDARG00000038835,5.881849539480949e-85,ENSDARG00000040861,3.1113292838029877e-18,ENSDARG00000037958,1.3531699432213145e-16,ENSDARG00000042332,2.531594618683113e-10,ENSDARG00000054823,3.0320122193061417e-10
