,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p
52,WBGene00009503,5.025941971861696e-36,WBGene00009100,1.9911768690888556e-50,WBGene00006830,7.688133902330993e-55,WBGene00018398,2.3070551199770836e-47,WBGene00021528,5.237259957086436e-40,WBGene00003176,5.328743958732625e-19,WBGene00000833,2.732275656417469e-126,WBGene00007186,6.289710563976128e-48,WBGene00000163,1.3947431315304542e-123,WBGene00001527,2.382129809769013e-127,WBGene00000476,9.284942170349428e-14,WBGene00009112,1.765558067164521e-32,WBGene00017298,1.2228073892387277e-137,WBGene00004140,1.8342779634749598e-19,WBGene00017855,1.1458563729601162e-44,WBGene00008601,6.757717552965743e-47,WBGene00022501,3.4804042796834765e-22,WBGene00003024,1.1955817923661594e-18,WBGene00006697,6.384394261379173e-34,WBGene00001627,8.417910151507786e-10,WBGene00020443,1.4153764046064601e-08,WBGene00019877,1.6164722928821575e-37,WBGene00009100,3.0903800681755145e-15,WBGene00011338,1.2681428629738343e-08,WBGene00009010,0.00012932481262472123,WBGene00016391,4.057299780362047e-07,WBGene00013462,4.801875183371661e-06
53,WBGene00006756,1.5389748074153996e-35,WBGene00002991,8.936173195490046e-50,WBGene00001489,1.1117275169115267e-54,WBGene00008665,3.367142052096492e-47,WBGene00017766,7.998723299420883e-40,WBGene00000092,5.580082192671228e-19,WBGene00014078,5.3161750025131304e-126,WBGene00013128,7.418238566982546e-48,WBGene00010785,1.5308463938784894e-123,WBGene00004700,4.323746810859564e-126,WBGene00006790,1.1782648553027047e-13,WBGene00016258,1.829945863094078e-32,WBGene00009177,2.1117592739397186e-137,WBGene00002981,1.9788745615479334e-19,WBGene00006626,1.5963663647616952e-44,WBGene00016250,7.742153518767862e-47,WBGene00002207,6.786242182119854e-22,WBGene00006803,2.3324149569316763e-18,WBGene00003367,1.3755177310191462e-33,WBGene00013326,2.874750066314396e-09,WBGene00000294,1.4197632905811167e-08,WBGene00012362,2.043294655156216e-37,WBGene00009174,7.059307158810505e-15,WBGene00001793,1.3184622836768864e-08,WBGene00004978,0.00013096880752694914,WBGene00021934,4.294119218510744e-07,WBGene00015237,5.059560544093946e-06
54,WBGene00001078,1.6248121189792168e-35,WBGene00000527,1.983668775801857e-49,WBGene00016333,3.736988664099396e-54,WBGene00011760,9.845763890339342e-47,WBGene00001248,1.2463391801470865e-39,WBGene00001006,9.589901515634674e-19,WBGene00003367,1.8819390281047318e-125,WBGene00018890,5.624013013990585e-47,WBGene00017686,8.360963039295021e-123,WBGene00010631,1.3692055254099703e-123,WBGene00021927,2.427447770126407e-13,WBGene00021538,4.933416921454006e-32,WBGene00003825,3.3903452969441243e-136,WBGene00006803,3.143690231227987e-19,WBGene00006437,2.798484237881989e-44,WBGene00017885,1.7507128504153438e-46,WBGene00000096,1.3958946276990187e-21,WBGene00011352,7.624219096112782e-18,WBGene00004755,3.114200145175661e-33,WBGene00002991,3.0229220168521766e-09,WBGene00001196,1.4581524725465157e-08,WBGene00018700,2.1295280929431787e-37,WBGene00006803,7.936330489564361e-15,WBGene00006961,1.536806009411834e-08,WBGene00006777,0.00015347187853820496,WBGene00015203,4.2970288197780585e-07,WBGene00020719,5.199109232969327e-06
55,WBGene00004875,5.546706496177575e-35,WBGene00001709,4.5084729690922386e-49,WBGene00002162,8.323512576100247e-52,WBGene00010420,1.1034705802972492e-45,WBGene00001512,1.0529002953845479e-37,WBGene00022593,1.0515894762581506e-18,WBGene00016739,3.6215623458745695e-125,WBGene00017085,1.0789748572639794e-45,WBGene00014243,1.3406935918134996e-122,WBGene00008480,4.3811086749245326e-123,WBGene00013354,3.2549431643529796e-13,WBGene00021927,5.992092926575912e-32,WBGene00000606,3.711895162008668e-136,WBGene00007703,5.636018630094698e-19,WBGene00003073,1.4107773444147187e-43,WBGene00003930,1.3276792427943174e-45,WBGene00012245,1.7994958771105883e-21,WBGene00000502,1.7416048768942517e-17,WBGene00009812,4.235491719309991e-33,WBGene00007287,6.063865643245432e-09,WBGene00014249,1.4706031263261332e-08,WBGene00020441,9.725864917902127e-37,WBGene00022119,9.770866737676427e-15,WBGene00013709,1.637237841879824e-08,WBGene00006999,0.00015962556663597164,WBGene00018701,4.3694040478628515e-07,WBGene00004704,5.341149815093551e-06
56,WBGene00002979,6.60411137410367e-35,WBGene00017016,8.010451153116537e-49,WBGene00022199,1.0002136677043837e-51,WBGene00007626,1.1873844725426517e-45,WBGene00000527,1.5263926181406946e-37,WBGene00004719,1.094663347474399e-18,WBGene00006406,4.294389906566636e-124,WBGene00019457,2.5817125510812535e-45,WBGene00004873,2.54219149491824e-121,WBGene00018776,8.168690790320094e-123,WBGene00004950,6.065570001945194e-13,WBGene00003776,7.512191926756174e-32,WBGene00006787,2.9568964498567697e-134,WBGene00006787,7.967751869072021e-19,WBGene00012896,2.033558101664241e-43,WBGene00000777,2.0324068127201325e-44,WBGene00022240,2.404969167785063e-21,WBGene00011474,2.997788654111986e-17,WBGene00022453,1.2205241941448939e-32,WBGene00010045,6.856879439443071e-09,WBGene00003397,1.9466074790978005e-08,WBGene00044071,1.357282253807008e-36,WBGene00006590,4.5664767755964034e-14,WBGene00010990,1.680571556896336e-08,WBGene00018006,0.000160666526338273,WBGene00011605,4.4030504878194094e-07,WBGene00003014,5.428632698146096e-06
57,WBGene00004950,1.2444449425497525e-34,WBGene00001116,8.231488599265468e-49,WBGene00000092,1.9187341258675517e-51,WBGene00015632,1.6358997176702183e-45,WBGene00001627,8.446643608029136e-37,WBGene00017063,1.4901675163781512e-18,WBGene00015581,4.338838337682748e-124,WBGene00003788,5.55532656908878e-45,WBGene00019629,1.4539387186059025e-120,WBGene00016583,7.550973931421121e-122,WBGene00006493,1.3572457170843295e-12,WBGene00017065,1.5648357538693118e-31,WBGene00015344,2.2586030244531038e-133,WBGene00012644,1.4059436705445815e-18,WBGene00004203,2.0765330218494933e-43,WBGene00011735,2.587668975679174e-44,WBGene00000188,5.6217258637942426e-21,WBGene00020146,3.1069377771036244e-17,WBGene00003149,3.294034166252422e-32,WBGene00011935,1.1164508535537742e-08,WBGene00018849,2.777723164725926e-08,WBGene00009103,1.5656267547136623e-36,WBGene00004245,5.832336693502881e-14,WBGene00018776,2.2320225024995862e-08,WBGene00020530,0.00016470209333473528,WBGene00003961,5.207422013320664e-07,WBGene00015512,5.484461684181214e-06
58,WBGene00002299,2.5367012160500154e-34,WBGene00013869,2.352215484737986e-48,WBGene00022389,3.5681456703194016e-51,WBGene00009452,4.5907452066922e-45,WBGene00022389,1.2343458396476464e-36,WBGene00008443,4.497121725212155e-18,WBGene00002075,5.44342425766799e-124,WBGene00001134,1.714524542642963e-44,WBGene00000550,2.973484319847954e-120,WBGene00011507,3.979125569752503e-121,WBGene00001627,1.6309753205821832e-12,WBGene00022381,2.1411139300273717e-31,WBGene00003978,1.4764977716374964e-132,WBGene00014249,2.570909106390651e-18,WBGene00001258,3.5140422283418466e-42,WBGene00013667,1.236152912374895e-42,WBGene00010794,5.871371294245018e-21,WBGene00006467,3.62081282346265e-17,WBGene00000158,3.944171023897832e-32,WBGene00004830,1.1668648693801968e-08,WBGene00017724,4.2907449839483054e-08,WBGene00006887,5.085399401863405e-36,WBGene00016162,5.981449637678038e-14,WBGene00001134,2.501445237474972e-08,WBGene00013317,0.00019010708236282897,WBGene00006481,5.921004992150599e-07,WBGene00003009,5.736196619730669e-06
59,WBGene00000892,2.9259804908703483e-34,WBGene00000895,2.8897416258004095e-48,WBGene00012713,7.453436217895214e-51,WBGene00004091,8.851529514290863e-45,WBGene00014101,1.377795035646708e-35,WBGene00002979,4.550881111910357e-18,WBGene00001336,4.981905337334391e-122,WBGene00018892,2.7651738010007025e-44,WBGene00011503,1.5078727387095163e-119,WBGene00015206,6.0791017624719034e-121,WBGene00006777,2.209593624545922e-12,WBGene00012390,8.390762722396683e-31,WBGene00000158,9.297047884599256e-132,WBGene00022144,3.58910459496753e-18,WBGene00016562,5.895639988867499e-42,WBGene00006410,6.353725089200029e-42,WBGene00002991,6.846057995195604e-21,WBGene00022280,8.305208375227147e-17,WBGene00011304,2.5514330219359513e-31,WBGene00000518,1.26490561139067e-08,WBGene00016735,6.271310278664218e-08,WBGene00001031,7.996147931181551e-36,WBGene00013683,8.19745513307649e-14,WBGene00003001,2.798989218649721e-08,WBGene00019301,0.00020162686674377956,WBGene00010419,7.507300192352497e-07,WBGene00010419,6.117012864653239e-06
60,WBGene00016331,3.874514476423115e-34,WBGene00007067,1.2447037764589593e-47,WBGene00022434,1.5566363611095857e-50,WBGene00021546,9.425847260963725e-45,WBGene00022199,4.492246628621473e-35,WBGene00013969,5.511188253353172e-18,WBGene00022718,1.6215883974969115e-121,WBGene00010279,1.0401924115557755e-43,WBGene00000913,3.3214316040611864e-119,WBGene00001226,1.125263513450641e-120,WBGene00006766,2.711906456513603e-12,WBGene00017724,1.8961280131204596e-30,WBGene00020562,4.859856639944906e-130,WBGene00006823,7.597324158199708e-18,WBGene00003024,5.93236149945385e-42,WBGene00001172,2.4243298926216955e-40,WBGene00022201,9.063136232196854e-21,WBGene00012128,8.542588563557704e-17,WBGene00000552,2.6699588129696e-31,WBGene00016333,1.52669453505018e-08,WBGene00000096,6.500859981772418e-08,WBGene00020604,1.5950116634219923e-34,WBGene00004033,9.131019252484595e-14,WBGene00007048,2.8205509611110052e-08,WBGene00001404,0.00023487738079284163,WBGene00003404,7.619409122401148e-07,WBGene00010809,6.245558623662798e-06
61,WBGene00006771,4.740560376052266e-34,WBGene00019682,1.5568825130373975e-47,WBGene00017797,4.645672687761329e-50,WBGene00001470,2.8783755795929566e-44,WBGene00006783,5.451531180153645e-34,WBGene00000240,5.655434882738546e-18,WBGene00003009,6.973473386948247e-120,WBGene00002078,6.488435859864432e-43,WBGene00002201,8.46875097386715e-119,WBGene00011338,3.0760213581923793e-120,WBGene00003176,2.7943903234952142e-12,WBGene00006479,3.0878824459491278e-30,WBGene00006941,3.558602986207261e-126,WBGene00004755,1.0668025434862004e-17,WBGene00001087,1.2569025517779955e-41,WBGene00018893,4.8463197105599306e-40,WBGene00001526,9.449690745928841e-21,WBGene00016957,1.0293910719524693e-16,WBGene00016321,3.275857774857365e-31,WBGene00006970,1.618190937271437e-08,WBGene00010794,6.649545203151156e-08,WBGene00006423,2.127500040108647e-34,WBGene00010406,2.990329876037828e-13,WBGene00005019,3.1831184856961346e-08,WBGene00000367,0.00025034403189677743,WBGene00008386,8.337720484324805e-07,WBGene00017605,6.585590717225757e-06
62,WBGene00006367,4.873067509612446e-34,WBGene00008345,1.3575375216301705e-46,WBGene00008452,2.96985687513912e-49,WBGene00003172,2.074041084113012e-43,WBGene00000092,8.95648579442341e-34,WBGene00000082,9.593633170099406e-18,WBGene00000550,7.876093571178711e-120,WBGene00016601,7.222239465345559e-43,WBGene00006961,2.6510065826113054e-118,WBGene00001258,4.2054133739877134e-119,WBGene00019211,2.824607155593802e-12,WBGene00009580,5.7662778891042005e-30,WBGene00012348,9.081520340480374e-125,WBGene00016173,1.3087144642198638e-17,WBGene00002201,4.3964839671803465e-41,WBGene00011975,5.928297421369496e-40,WBGene00004978,1.286078391517183e-20,WBGene00003516,1.0301999554656725e-16,WBGene00003911,4.385291573399366e-31,WBGene00008345,1.981727804114445e-08,WBGene00012128,8.64624469651121e-08,WBGene00019656,2.2780986541624653e-34,WBGene00004364,3.359294160389758e-13,WBGene00003229,3.852688630718067e-08,WBGene00007621,0.0002698040841993076,WBGene00004704,8.446845045077525e-07,WBGene00016405,7.526437607091078e-06
63,WBGene00012393,5.18185660862645e-34,WBGene00009503,3.1269275855433536e-46,WBGene00011526,1.371284205570405e-48,WBGene00010676,3.3550855337110042e-43,WBGene00018281,1.3539801574721307e-33,WBGene00021628,1.1820058511817113e-17,WBGene00001340,1.3267935206169151e-119,WBGene00007514,3.4823527327510414e-42,WBGene00012097,1.1855052269805403e-115,WBGene00001073,9.364940374918597e-119,WBGene00008443,5.451578250875042e-12,WBGene00001178,1.2108970829191979e-29,WBGene00006923,4.911909988512257e-123,WBGene00001404,1.4320854111329034e-17,WBGene00010406,1.06861454246498e-40,WBGene00006801,1.3742257952950957e-39,WBGene00000114,1.3446047487923119e-20,WBGene00006508,1.978222082192117e-16,WBGene00002066,6.672563471481113e-31,WBGene00021205,2.039890885942735e-08,WBGene00009503,1.2343705726876704e-07,WBGene00001404,3.8870921762701795e-34,WBGene00000553,3.4425758795532315e-13,WBGene00008053,4.7218825542023663e-08,WBGene00021628,0.00030724379809585076,WBGene00012765,8.881618062424914e-07,WBGene00010778,7.97283158287988e-06
64,WBGene00020273,7.86120831828731e-34,WBGene00009500,3.689342873455422e-46,WBGene00010420,1.5651980145579209e-46,WBGene00001163,3.824511543061784e-43,WBGene00008443,2.856848614040577e-33,WBGene00000895,1.2644681192638246e-17,WBGene00009126,1.415576671276822e-119,WBGene00019163,8.039118850370813e-42,WBGene00017855,1.5183886537498534e-115,WBGene00010279,1.0789727775183864e-118,WBGene00000188,5.513956492741457e-12,WBGene00006367,1.5443894572633456e-29,WBGene00002845,3.0779520696781305e-121,WBGene00015232,1.7290589368673667e-17,WBGene00006776,1.6402393411258708e-40,WBGene00013025,4.245829449782298e-36,WBGene00006766,2.0597947245226333e-20,WBGene00013683,2.383301352257546e-16,WBGene00000082,1.6389531286788876e-30,WBGene00006767,2.080819258353939e-08,WBGene00016792,1.3796580534973867e-07,WBGene00001087,5.4832515753968985e-34,WBGene00000161,4.922795227114563e-13,WBGene00018769,5.5963615784617e-08,WBGene00008411,0.00030824318363600043,WBGene00020781,8.950238835730448e-07,WBGene00010279,8.292819064245643e-06
65,WBGene00011526,6.262631220332732e-33,WBGene00016792,1.8455913518271552e-44,WBGene00021544,4.431459271385969e-46,WBGene00014119,4.819133799530814e-43,WBGene00019205,9.353273465795397e-32,WBGene00004213,1.4666703685435135e-17,WBGene00000876,1.5694401401302907e-118,WBGene00000876,2.0170373578234317e-41,WBGene00004762,3.1894231780293456e-114,WBGene00018426,2.7815855219000945e-118,WBGene00008018,6.7252404890130806e-12,WBGene00011344,2.0752588323646274e-29,WBGene00003048,3.7923850343846056e-119,WBGene00004203,1.7540813819519836e-17,WBGene00007514,5.6926867414154055e-40,WBGene00019888,5.686599293304659e-36,WBGene00001137,2.1535735901563114e-20,WBGene00006790,2.916445994121744e-16,WBGene00006801,1.6754724659465262e-30,WBGene00013506,2.4012697624394e-08,WBGene00001489,1.8400717297174855e-07,WBGene00003130,5.658892868127173e-34,WBGene00004215,8.039820574123618e-13,WBGene00015691,6.083800528968834e-08,WBGene00006331,0.0003113762007154136,WBGene00010842,9.329702621330792e-07,WBGene00016245,8.923257884283714e-06
66,WBGene00003214,7.101463321147527e-33,WBGene00003404,3.384449453603797e-43,WBGene00004830,5.809621546463042e-46,WBGene00001746,7.117728036442168e-43,WBGene00022817,1.0499490639684075e-31,WBGene00009503,1.6901079977432847e-17,WBGene00009262,4.320922188112424e-118,WBGene00000913,2.067986938942759e-41,WBGene00004063,3.167748010806404e-113,WBGene00017210,9.753074838783117e-118,WBGene00001042,1.494086888696574e-11,WBGene00012033,4.819480559121515e-29,WBGene00006626,5.095398518411237e-118,WBGene00012676,1.9736498078022837e-17,WBGene00001748,5.9568423470635095e-40,WBGene00009740,1.3125446077323896e-35,WBGene00003978,3.1145843287919795e-20,WBGene00003397,5.907794270293493e-16,WBGene00006831,2.2648619090157452e-30,WBGene00002203,4.9332794857311735e-08,WBGene00006649,1.8523448395769297e-07,WBGene00006941,1.0155791808539173e-33,WBGene00006791,1.1699681209110431e-12,WBGene00010631,7.557083020117963e-08,WBGene00010676,0.0003157180381751229,WBGene00001259,9.480375641869341e-07,WBGene00008948,9.181253037560429e-06
67,WBGene00017339,8.867031074442442e-33,WBGene00008443,4.353583076985619e-43,WBGene00018609,2.1401161901885703e-45,WBGene00022119,7.530528063665983e-43,WBGene00017640,1.6308344114486301e-31,WBGene00003182,2.262120555283084e-17,WBGene00000403,1.0275046656787673e-117,WBGene00002957,7.916971666424996e-41,WBGene00022048,3.315064675832791e-113,WBGene00001793,1.976897263632895e-117,WBGene00016162,1.759771190924092e-11,WBGene00002203,2.031621635304909e-28,WBGene00004459,2.9815793562496207e-116,WBGene00006920,1.9999105355007504e-17,WBGene00022296,1.3112804204002255e-39,WBGene00022144,8.927708802477543e-35,WBGene00021528,5.613148661706538e-20,WBGene00018701,6.146792222894086e-16,WBGene00004762,4.0301449865463e-30,WBGene00017735,4.9759926536006035e-08,WBGene00006496,2.513251889856459e-07,WBGene00003978,1.3580982460814656e-33,WBGene00013378,4.158147902750374e-12,WBGene00020389,8.733601163321329e-08,WBGene00010139,0.0003161908057347937,WBGene00021628,1.0226967617834102e-06,WBGene00011538,9.468957195402542e-06
68,WBGene00004830,9.407943435896108e-33,WBGene00001648,5.099439137238687e-43,WBGene00002957,7.445192077724067e-43,WBGene00004025,2.414521163893234e-42,WBGene00003182,5.073053236676376e-31,WBGene00014261,2.333181006016951e-17,WBGene00004315,1.5014855254405306e-117,WBGene00006941,1.0870451718516496e-40,WBGene00017075,5.827541802372157e-113,WBGene00020017,3.098398806886371e-116,WBGene00001248,1.792982352342977e-11,WBGene00001078,6.260315301304958e-28,WBGene00020097,1.0069347951944754e-112,WBGene00017724,2.9868590317096754e-17,WBGene00017210,2.1068981472507374e-39,WBGene00006779,1.1828285817205881e-32,WBGene00010665,6.148579044310365e-20,WBGene00006830,7.734404113741896e-16,WBGene00002007,1.3234034571552396e-29,WBGene00002207,5.4465134288133995e-08,WBGene00011480,2.7658515944975854e-07,WBGene00016391,1.4503281870842227e-33,WBGene00008452,4.282355565848548e-12,WBGene00007050,9.273312230589259e-08,WBGene00002981,0.00032449147778439066,WBGene00019629,1.0733117089981827e-06,WBGene00019629,9.914567060495133e-06
69,WBGene00006331,1.202640214714748e-32,WBGene00012128,2.3518044785776145e-42,WBGene00013732,1.274877159331331e-42,WBGene00010794,1.0580198045248505e-41,WBGene00012644,2.1936499109791184e-30,WBGene00010045,2.5410261073824688e-17,WBGene00000606,4.419590770286532e-116,WBGene00016170,1.188829038506201e-40,WBGene00010629,2.957044091644582e-112,WBGene00000163,5.070550598973562e-116,WBGene00017640,2.0595011669381753e-11,WBGene00000480,6.585636986736944e-28,WBGene00000419,3.048069858069771e-112,WBGene00003929,4.051824600464471e-17,WBGene00006975,2.5008139774072742e-39,WBGene00018756,1.4485383837693027e-31,WBGene00014261,6.183185641112353e-20,WBGene00011139,8.050129089853947e-16,WBGene00004315,7.357595150706769e-28,WBGene00018976,5.518032440367154e-08,WBGene00001329,2.88915217066496e-07,WBGene00007591,3.365561441739851e-33,WBGene00002189,4.837962001484536e-12,WBGene00002162,9.667660818290812e-08,WBGene00019888,0.0003276564772770693,WBGene00008999,1.0879389910100954e-06,WBGene00010629,1.0029060046831302e-05
70,WBGene00018131,1.5921658449308474e-32,WBGene00001179,1.3131538219270287e-40,WBGene00014215,3.1106648142253597e-42,WBGene00009812,2.189046520412217e-41,WBGene00001709,4.131385553661799e-30,WBGene00022279,2.6702171318753833e-17,WBGene00004762,9.331012243468734e-116,WBGene00007050,2.029563226129889e-40,WBGene00009126,5.36963310746707e-112,WBGene00000550,6.200323700630201e-116,WBGene00002176,2.2723121440473833e-11,WBGene00006918,7.539661004602714e-28,WBGene00003675,1.208661944032187e-111,WBGene00020383,8.328075399336389e-17,WBGene00002223,3.319218724930625e-39,WBGene00012348,1.6420725871082985e-31,WBGene00018304,7.444165176487673e-20,WBGene00006405,9.831936828985117e-16,WBGene00008452,8.88225166778442e-28,WBGene00000092,5.685891664451561e-08,WBGene00006791,3.554460103801913e-07,WBGene00015125,1.7343054889852495e-32,WBGene00015418,9.312847730610152e-12,WBGene00019305,1.0981248917370578e-07,WBGene00020735,0.0003610243744323807,WBGene00001336,1.1352052931214772e-06,WBGene00016170,1.0404884304679862e-05
71,WBGene00000081,2.3793126684823522e-32,WBGene00004969,1.497796424915189e-40,WBGene00006783,7.819790798596111e-42,WBGene00011559,5.783042362621721e-41,WBGene00017016,6.339428228088736e-30,WBGene00022199,4.712301799961177e-17,WBGene00003930,1.4678138257006286e-115,WBGene00008386,2.086894351727318e-40,WBGene00011338,1.6399240933705803e-111,WBGene00016739,7.856812613584648e-116,WBGene00001512,2.38118194078089e-11,WBGene00020735,1.5763964117629556e-27,WBGene00018017,3.803423522017536e-111,WBGene00011867,1.2285784805049098e-16,WBGene00003001,4.658769242001211e-39,WBGene00009460,1.0513180363573465e-30,WBGene00003561,1.8928598069446456e-19,WBGene00008018,1.0810704535404783e-15,WBGene00003062,1.6373601396762007e-27,WBGene00013128,5.938746791795886e-08,WBGene00013326,3.851033541802202e-07,WBGene00007350,1.837776079349048e-32,WBGene00017724,1.3834013336060925e-11,WBGene00006957,1.514230892918632e-07,WBGene00004704,0.0003995562610527866,WBGene00003675,1.1508938409975011e-06,WBGene00021506,1.319040253790007e-05
