Sub_Cluster1	Sub_Cluster2	Value
UnknownB.z	Mesenchyme.a	0.415755727222222
UnknownH.z	Mesenchyme.a	0.367413614666667
Endothelial.z	MesenchymeA.a	0.526598933375
Epithelial.z	MesenchymeA.a	0.5924825397625
Erythroid.z	MesenchymeA.a	0.511872105666667
Hepatocyte.z	MesenchymeA.a	0.66487077175
Immune.z	MesenchymeA.a	0.770824266326923
Muscle.z	MesenchymeA.a	0.422614365826923
Neuron.z	MesenchymeA.a	0.446764608236111
Proliferating.z	MesenchymeA.a	0.404645189833333
Secretory.z	MesenchymeA.a	0.634660124875
Stromal.z	MesenchymeA.a	0.3563167836875
UnknownB.z	MesenchymeA.a	0.49937649325
UnknownH.z	MesenchymeA.a	0.380106313
Centrocyte.h	Monocyte.m	0.849929607
Dendritic.h	Monocyte.m	0.875855857
Endothelial.h	Monocyte.m	0.370956727714286
Epithelial.h	Monocyte.m	0.28997977734375
Erythroid.h	Monocyte.m	0.647615118625
Hepatocyte.h	Monocyte.m	0.7065803505
Macrophage.h	Monocyte.m	0.8342882132
Mast.h	Monocyte.m	0.6776117
Monocyte.h	Monocyte.m	0.93792308
Muscle.h	Monocyte.m	0.3106256121
Myeloid.h	Monocyte.m	0.83685237975
Neuron.h	Monocyte.m	0.2131403224
Neutrophil.h	Monocyte.m	0.883293970333333
Plasmocyte.h	Monocyte.m	0.6750643575
Proliferating.h	Monocyte.m	0.17791958625
Secretory.h	Monocyte.m	0.186910888
Stromal.h	Monocyte.m	0.326759764575
T cell.h	Monocyte.m	0.7843536835
Endothelial.z	Muscle1.a	0.605714041166667
Epithelial.z	Muscle1.a	0.40399308195
Erythroid.z	Muscle1.a	0.641469656333333
Hepatocyte.z	Muscle1.a	0.4397229244
Immune.z	Muscle1.a	0.26513149
Muscle.z	Muscle1.a	0.856530142153846
Neuron.z	Muscle1.a	0.600882405333333
Proliferating.z	Muscle1.a	0.3499546965
Secretory.z	Muscle1.a	0.3166764959
Stromal.z	Muscle1.a	0.481120307416667
UnknownB.z	Muscle1.a	0.565222163
UnknownH.z	Muscle1.a	0.865030392
Endothelial.z	Muscle.a	0.527711286583333
Epithelial.z	Muscle.a	0.56097684875
Erythroid.z	Muscle.a	0.512466990666667
Hepatocyte.z	Muscle.a	0.496624461
Immune.z	Muscle.a	0.362122343346154
Muscle.z	Muscle.a	0.570258038923077
Neuron.z	Muscle.a	0.434398401083333
Proliferating.z	Muscle.a	0.507284302833333
Secretory.z	Muscle.a	0.40751962745
Stromal.z	Muscle.a	0.584903399916667
UnknownB.z	Muscle.a	0.3859836485
UnknownH.z	Muscle.a	0.5403437225
Epithelial.a	Muscle.c	0.778183251833333
EpithelialA.a	Muscle.c	0.58970159975
Mesenchyme.a	Muscle.c	0.210465199666667
MesenchymeA.a	Muscle.c	0.310155544375
Muscle1.a	Muscle.c	0.9238271085
Muscle.a	Muscle.c	0.769825484
Neuron.a	Muscle.c	0.7723324845
NeuronA.a	Muscle.c	0.768697894
Proliferating.a	Muscle.c	0.478121630083333
Centrocyte.h	Muscle.m	0.274286245777778
Dendritic.h	Muscle.m	0.412055484888889
Endothelial.h	Muscle.m	0.579826724888889
Epithelial.h	Muscle.m	0.475354079409722
Erythroid.h	Muscle.m	0.447905998305556
Hepatocyte.h	Muscle.m	0.372924337888889
Macrophage.h	Muscle.m	0.3697724178
Mast.h	Muscle.m	0.507268373111111
Monocyte.h	Muscle.m	0.273930137277778
Muscle.h	Muscle.m	0.829069220911111
Myeloid.h	Muscle.m	0.291195430944444
Neuron.h	Muscle.m	0.606235087077778
Neutrophil.h	Muscle.m	0.327074132037037
Plasmocyte.h	Muscle.m	0.222292201388889
Proliferating.h	Muscle.m	0.606049418166667
Secretory.h	Muscle.m	0.449292241857143
Stromal.h	Muscle.m	0.69966256545
T cell.h	Muscle.m	0.259958359944444
Epithelial.s	Muscle.n	0.4023429085
Excretory.s	Muscle.n	0.517715527
Glia.s	Muscle.n	0.88336173
Muscle.s	Muscle.n	0.95152907
Neuron.s	Muscle.n	0.664005527
Parenchymal.s	Muscle.n	0.760195946666667
Phagocytes.s	Muscle.n	0.663541383
Pharynx.s	Muscle.n	0.525975964
Proliferating.s	Muscle.n	0.503991168391304
Secretory.s	Muscle.n	0.649660422
Coelomocytes.c	Muscle.s	0.4337074125
DistalTip.c	Muscle.s	0.6341590155
Epithelial.c	Muscle.s	0.425291128
Excretory.c	Muscle.s	0.628048487
Glia.c	Muscle.s	0.5141525435
Muscle.c	Muscle.s	0.90874761775
Neuron.c	Muscle.s	0.6849147889
Pharynx.c	Muscle.s	0.564251346166667
Proliferating.c	Muscle.s	0.2079045407
B cell.m	Muscle.z	0.316661972923077
Cumulus.m	Muscle.z	0.614354994923077
Dendritic.m	Muscle.z	0.363185510307692
Endothelial.m	Muscle.z	0.541985515423077
Epithelial.m	Muscle.z	0.525804221034965
Erythroid.m	Muscle.z	0.490362773057692
Hepatocyte.m	Muscle.z	0.524633896282051
Macrophage.m	Muscle.z	0.350141755102564
Mast.m	Muscle.z	0.316487273461538
Monocyte.m	Muscle.z	0.318634054807692
Muscle.m	Muscle.z	0.754588236940171
Neuron.m	Muscle.z	0.484561814858974
Neutrophil.m	Muscle.z	0.288668324826923
ProliferatingEpithelial.m	Muscle.z	0.466690800153846
Proliferating.m	Muscle.z	0.529641217549451
Secretory.m	Muscle.z	0.450997688815385
Stromal.m	Muscle.z	0.608395442875
T cell.m	Muscle.z	0.348196262692308
Endothelial.z	Neuron.a	0.518751409055556
Epithelial.z	Neuron.a	0.318333076475
Erythroid.z	Neuron.a	0.370732830222222
Hepatocyte.z	Neuron.a	0.2912717307
Immune.z	Neuron.a	0.415818438705128
Muscle.z	Neuron.a	0.351699639641026
Neuron.z	Neuron.a	0.780487641231482
Proliferating.z	Neuron.a	0.333604663861111
Secretory.z	Neuron.a	0.669734117633333
Stromal.z	Neuron.a	0.283488577291667
UnknownB.z	Neuron.a	0.882511979333333
UnknownH.z	Neuron.a	0.459240729166667
Endothelial.z	NeuronA.a	0.72914344425
Epithelial.z	NeuronA.a	0.326003654125
Erythroid.z	NeuronA.a	0.3895778505
Hepatocyte.z	NeuronA.a	0.3527379824
Immune.z	NeuronA.a	0.554108422384615
Muscle.z	NeuronA.a	0.408227487269231
Neuron.z	NeuronA.a	0.727733832138889
Proliferating.z	NeuronA.a	0.269784908833333
Secretory.z	NeuronA.a	0.7108055608
Stromal.z	NeuronA.a	0.348401037666667
UnknownB.z	NeuronA.a	0.902958339
UnknownH.z	NeuronA.a	0.594391388
Epithelial.a	Neuron.c	0.512493380433333
EpithelialA.a	Neuron.c	0.2662560498
Mesenchyme.a	Neuron.c	0.381689684022222
MesenchymeA.a	Neuron.c	0.3881632349
Muscle1.a	Neuron.c	0.6756141364
Muscle.a	Neuron.c	0.38240010815
Neuron.a	Neuron.c	0.93328778565
NeuronA.a	Neuron.c	0.838335791
Proliferating.a	Neuron.c	0.261965507016667
Centrocyte.h	Neuron.m	0.253621136833333
Dendritic.h	Neuron.m	0.19221652825
Endothelial.h	Neuron.m	0.477396784047619
Epithelial.h	Neuron.m	0.499681241510417
Erythroid.h	Neuron.m	0.522099515375
Hepatocyte.h	Neuron.m	0.182212306
Macrophage.h	Neuron.m	0.394098944866667
Mast.h	Neuron.m	0.224950736833333
Monocyte.h	Neuron.m	0.176842727833333
