,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p
20,WBGene00022389,2.9772056276586823e-24,WBGene00019890,7.966322642783215e-80,WBGene00010260,6.58285477749558e-33,WBGene00001707,6.83002866262768e-26,WBGene00013111,4.1771414691725916e-16,WBGene00000822,8.657406192610238e-49,WBGene00016611,1.1390419985134414e-06,WBGene00011474,2.4678202857351715e-63,WBGene00004186,3.8910590705673136e-39,WBGene00020596,1.3989007085183799e-07,WBGene00008311,2.758434914344659e-06,WBGene00004313,1.9657284047927177e-43,WBGene00002222,0.0003828074690820079,WBGene00003567,6.17605451120576e-06,WBGene00002005,1.8671552030624582e-26,WBGene00006468,9.126801928842767e-05
21,WBGene00013518,4.3447558628358615e-22,WBGene00003568,8.742305394099427e-78,WBGene00002005,5.097161136951633e-32,WBGene00001412,6.29054184083332e-25,WBGene00022240,1.1544812379069137e-15,WBGene00017885,1.0261434026483026e-48,WBGene00006727,1.2725983354391378e-06,WBGene00010419,2.1381628996757922e-57,WBGene00011308,3.3463575331740864e-38,WBGene00001508,1.4202754602456454e-07,WBGene00016961,4.544978820062603e-06,WBGene00014215,9.419565692866419e-43,WBGene00004276,0.0004530499837690399,WBGene00016333,8.173565768779717e-06,WBGene00016879,1.9536242234346365e-26,WBGene00013355,0.00012606391087854966
22,WBGene00018639,6.523648182507045e-22,WBGene00012897,1.6732796926412646e-77,WBGene00000962,7.6076019235292295e-31,WBGene00007696,3.163373018813446e-24,WBGene00004207,3.4285206878569972e-15,WBGene00001794,1.0620631084008807e-48,WBGene00018018,2.137237529442314e-06,WBGene00016630,4.7626441476546266e-57,WBGene00011638,1.2581840362847963e-37,WBGene00000476,1.5273493533629932e-07,WBGene00017885,7.814749873437315e-06,WBGene00020437,3.519038574254589e-39,WBGene00009119,0.0005826807372372588,WBGene00001031,8.184490984384886e-06,WBGene00010130,2.7090276437011035e-26,WBGene00013135,0.00013223217988823197
23,WBGene00004913,3.609556610968291e-21,WBGene00010966,1.942953281034863e-76,WBGene00014165,9.384887127225237e-29,WBGene00004091,5.457813122095804e-24,WBGene00004285,7.484490320469657e-15,WBGene00003951,1.2843606019961555e-48,WBGene00001707,2.8422803011748753e-06,WBGene00011232,3.890132288942828e-55,WBGene00004187,1.876209355776328e-37,WBGene00015470,2.2298494904536233e-07,WBGene00021597,1.2077870084432744e-05,WBGene00021697,1.3939731326253699e-38,WBGene00004888,0.0006126192977549773,WBGene00002007,1.3312505669209844e-05,WBGene00008443,1.1880134906746494e-25,WBGene00001709,0.00014883619389151993
24,WBGene00004969,1.4951414863052902e-20,WBGene00010810,3.8628850012343214e-74,WBGene00000123,1.2968692594388936e-27,WBGene00020437,5.654533031653927e-24,WBGene00001171,1.1379041347199672e-14,WBGene00006836,2.7228262719515336e-48,WBGene00003776,7.193128078600057e-06,WBGene00006999,6.114034606842174e-55,WBGene00011605,2.041750735510396e-37,WBGene00013711,2.6054120498903045e-07,WBGene00012359,2.476517414797727e-05,WBGene00004405,6.625677532456699e-37,WBGene00004800,0.0008435434462019685,WBGene00013311,2.0187993378909846e-05,WBGene00004077,5.488409719163316e-25,WBGene00002979,0.00016932150607025626
25,WBGene00019347,4.2216473431955e-20,WBGene00001620,2.2960379643158927e-73,WBGene00003367,4.882668556370283e-27,WBGene00019322,1.1184725682496985e-23,WBGene00011261,1.289613069993588e-13,WBGene00001410,2.3707751051218643e-46,WBGene00012796,7.794948014464816e-06,WBGene00001794,7.452853557548516e-55,WBGene00001423,3.960307568675979e-36,WBGene00011306,3.7345984717026917e-07,WBGene00000112,5.977616244189585e-05,WBGene00002583,1.3360234320767534e-36,WBGene00001648,0.0009547618186246093,WBGene00007696,6.803426640301558e-05,WBGene00020530,6.653195490684738e-25,WBGene00008345,0.0002114390783404204
26,WBGene00004045,1.6425478565092505e-19,WBGene00022794,3.062451529347083e-73,WBGene00021088,1.030267925204624e-25,WBGene00007463,7.421647738011133e-23,WBGene00003166,1.4050066249692053e-13,WBGene00000554,3.4729468795965722e-46,WBGene00006702,1.0496863425461275e-05,WBGene00017864,1.877477702120443e-53,WBGene00010627,6.220447238573667e-36,WBGene00022435,4.367864798701329e-07,WBGene00002203,6.275532792895407e-05,WBGene00009542,4.391093525244171e-36,WBGene00006468,0.0009597890678872381,WBGene00015168,7.288944603352e-05,WBGene00002038,7.005549017603562e-25,WBGene00007143,0.0003133563086201114
27,WBGene00000518,2.8312832747069205e-19,WBGene00006476,1.2874009716973058e-72,WBGene00006728,1.2541858189110995e-25,WBGene00014119,1.114946992703314e-21,WBGene00013326,5.710382462405057e-13,WBGene00013595,4.897977835982403e-46,WBGene00017699,3.33880448506448e-05,WBGene00000228,2.533036876699715e-48,WBGene00000875,9.916003012752586e-36,WBGene00021185,4.4754475416667346e-07,WBGene00013595,8.117657503031019e-05,WBGene00001398,1.6279089432780793e-35,WBGene00010272,0.0009984289613374836,WBGene00017904,8.036076337976074e-05,WBGene00017885,7.190634770432898e-25,WBGene00021312,0.0003287291491650954
28,WBGene00000277,7.859844851693996e-19,WBGene00008311,1.5614583352406052e-72,WBGene00004434,2.199544833367069e-25,WBGene00004307,7.799894877870723e-21,WBGene00018281,7.001197291810423e-13,WBGene00019305,7.064611820566079e-46,WBGene00022279,4.575054441472644e-05,WBGene00001604,1.6089986846804574e-44,WBGene00019629,1.0060074395044707e-35,WBGene00004875,4.5156610343483443e-07,WBGene00009200,8.739391998181356e-05,WBGene00001137,2.542296568056054e-34,WBGene00010564,0.0010086967456498562,WBGene00016630,8.857829479240436e-05,WBGene00001707,8.314307460901831e-25,WBGene00012796,0.0003652041083857416
29,WBGene00004088,2.0770045588958848e-18,WBGene00009881,3.2273218920685843e-72,WBGene00001337,5.101294028425958e-25,WBGene00008546,1.3433515397187564e-20,WBGene00003969,7.046293470562873e-13,WBGene00000368,5.4016844057372533e-45,WBGene00011261,7.922664119047909e-05,WBGene00006823,8.233437769325464e-43,WBGene00002027,1.9937539856931326e-35,WBGene00013111,4.947564619531838e-07,WBGene00009082,9.631911631940102e-05,WBGene00003964,3.778413315145316e-34,WBGene00013416,0.0010789282387560146,WBGene00011638,9.134049868589839e-05,WBGene00022358,8.70103741181027e-25,WBGene00009322,0.00041719687106132636
