,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p
78,ENSDARG00000038428,9.300969576272842e-34,ENSDARG00000068246,2.7119109918133443e-18,ENSDARG00000105018,5.835749117116532e-40,ENSDARG00000041332,3.287018331813964e-15,ENSDARG00000039279,4.3909475847506974e-27,ENSDARG00000104242,5.681241767261305e-38,ENSDARG00000100494,9.84567713458379e-09,ENSDARG00000052674,2.979174596301076e-23,ENSDARG00000036510,9.132935767012607e-83,ENSDARG00000040466,7.591383378671625e-08,ENSDARG00000044852,3.7232302104678147e-146,ENSDARG00000099997,1.1889940021822488e-38,ENSDARG00000041108,4.502020899522132e-101,ENSDARG00000004706,4.880519753001649e-160,ENSDARG00000053468,7.329838103485375e-10,ENSDARG00000013063,8.991051764353699e-05,ENSDARG00000060362,1.7462193706413647e-06,ENSDARG00000009830,1.1925286953581569e-13,ENSDARG00000014532,1.528760217035124e-05,ENSDARG00000042128,1.8228178734920113e-08,ENSDARG00000005754,4.883541081475783e-10,ENSDARG00000057452,0.0022114712524277107,ENSDARG00000059809,0.0027810831267737323,ENSDARG00000078308,4.472736305060303e-84,ENSDARG00000102059,0.0003680433862972849,ENSDARG00000004843,7.7896725607029e-78,ENSDARG00000070108,1.5803364743824204e-33,ENSDARG00000057105,1.7880892882884236e-12,ENSDARG00000104223,6.857928901624286e-05
79,ENSDARG00000044339,1.0052958520291913e-33,ENSDARG00000104768,2.737993717930241e-18,ENSDARG00000013938,5.3112151298120235e-39,ENSDARG00000102059,3.4858034559631733e-15,ENSDARG00000098431,8.366996334976794e-27,ENSDARG00000102883,1.532582556581554e-37,ENSDARG00000098967,9.870450887977057e-09,ENSDARG00000023394,4.646866882528812e-23,ENSDARG00000004785,4.741469572175869e-82,ENSDARG00000079854,8.337417388076938e-08,ENSDARG00000005840,1.105679019928309e-145,ENSDARG00000019339,8.719054450578378e-38,ENSDARG00000011055,7.241457463465502e-101,ENSDARG00000101216,3.521471017184314e-157,ENSDARG00000062382,8.218032990561914e-10,ENSDARG00000043665,9.191154941836213e-05,ENSDARG00000000503,1.7615837381554738e-06,ENSDARG00000043684,3.5773432934118265e-13,ENSDARG00000054849,1.7074221597980325e-05,ENSDARG00000079886,1.923733883790027e-08,ENSDARG00000079271,3.500403386785264e-09,ENSDARG00000008380,0.00242615283768421,ENSDARG00000021097,0.0028600123862437474,ENSDARG00000018432,1.4287626532069399e-83,ENSDARG00000019765,0.0003827454212002391,ENSDARG00000018491,9.090333662856445e-78,ENSDARG00000003189,4.951277527911803e-33,ENSDARG00000008480,1.888560324756147e-12,ENSDARG00000060853,7.16489740081568e-05
80,ENSDARG00000055897,1.1008475761257569e-33,ENSDARG00000030824,3.086534400218573e-18,ENSDARG00000053101,5.428163289986771e-39,ENSDARG00000102746,5.572913567431182e-15,ENSDARG00000101755,9.47990829417854e-27,ENSDARG00000000019,4.848734160276041e-37,ENSDARG00000013670,9.891599063143972e-09,ENSDARG00000019420,1.0223221460140372e-22,ENSDARG00000002401,5.070762386348278e-82,ENSDARG00000053691,9.458823600965022e-08,ENSDARG00000041363,2.087511642287959e-143,ENSDARG00000042644,2.1540151152613368e-37,ENSDARG00000100013,7.60403222678252e-101,ENSDARG00000024204,6.731975046918315e-156,ENSDARG00000028087,8.9345068883692e-10,ENSDARG00000003411,9.76645200932345e-05,ENSDARG00000016010,1.9638614077669378e-06,ENSDARG00000058108,5.488467358017863e-13,ENSDARG00000039338,1.9201984123627728e-05,ENSDARG00000014806,2.5360594295517895e-08,ENSDARG00000038524,4.863039452098819e-09,ENSDARG00000040198,0.0024466167645439186,ENSDARG00000070390,0.002891443567300141,ENSDARG00000019008,2.3546891032391393e-82,ENSDARG00000040466,0.00039003950909794713,ENSDARG00000006332,1.2111828710593163e-77,ENSDARG00000103422,6.422792337588635e-33,ENSDARG00000043728,2.14489634681854e-12,ENSDARG00000016837,7.341573078524809e-05
81,ENSDARG00000035149,1.120203939944396e-33,ENSDARG00000078599,4.133270150220151e-18,ENSDARG00000056903,1.6410329878738903e-38,ENSDARG00000035149,8.778879565368228e-15,ENSDARG00000063588,1.0326007279029578e-26,ENSDARG00000100435,9.257958734995928e-37,ENSDARG00000077013,1.2207829870229534e-08,ENSDARG00000043561,1.1029889888428592e-22,ENSDARG00000039208,1.4471480007476898e-81,ENSDARG00000100385,1.0431743705634625e-07,ENSDARG00000018426,3.6876014254020286e-143,ENSDARG00000010032,2.2859608187658106e-37,ENSDARG00000032614,1.105734038164337e-100,ENSDARG00000086618,1.45011653160957e-155,ENSDARG00000005897,1.2818187767765578e-09,ENSDARG00000020822,0.00010003683523313988,ENSDARG00000045565,1.9782784818687656e-06,ENSDARG00000056583,6.117986988109306e-13,ENSDARG00000068156,2.112561625181876e-05,ENSDARG00000074552,2.57607420947917e-08,ENSDARG00000063031,1.552833983379136e-08,ENSDARG00000020845,0.0025971503100463682,ENSDARG00000057035,0.003029985842921792,ENSDARG00000087640,7.502107697710086e-82,ENSDARG00000053979,0.000403700387594669,ENSDARG00000104071,2.8223036726561486e-77,ENSDARG00000016864,9.384657425602447e-33,ENSDARG00000078315,2.2842485630796344e-12,ENSDARG00000054849,7.763152445005161e-05
82,ENSDARG00000009209,1.1667920025282718e-33,ENSDARG00000013475,4.9464952779905085e-18,ENSDARG00000052190,2.190938889548171e-38,ENSDARG00000030563,9.047198815474711e-15,ENSDARG00000045482,1.9124866896363097e-26,ENSDARG00000016584,1.034602144147572e-36,ENSDARG00000029936,1.2653081333129654e-08,ENSDARG00000013475,1.2024979178190608e-22,ENSDARG00000038768,4.225402863101709e-81,ENSDARG00000070832,1.0564832199478212e-07,ENSDARG00000032155,3.2026114249959185e-140,ENSDARG00000036438,3.526042917342683e-37,ENSDARG00000027825,3.768805431139771e-99,ENSDARG00000052712,2.879011909879826e-155,ENSDARG00000089232,1.7334925242733822e-09,ENSDARG00000043905,0.00010517027649495867,ENSDARG00000071087,2.6966705157621126e-06,ENSDARG00000005897,7.418449628245391e-13,ENSDARG00000002405,2.417017429407647e-05,ENSDARG00000042630,3.114398368389089e-08,ENSDARG00000028982,3.418576574761021e-08,ENSDARG00000101024,0.0029608034190895575,ENSDARG00000078077,0.003070373192733028,ENSDARG00000002401,2.6537365718447323e-81,ENSDARG00000012450,0.0004258034879038183,ENSDARG00000070046,6.980756153999014e-77,ENSDARG00000032296,1.8060588868269335e-32,ENSDARG00000102997,2.363229469832172e-12,ENSDARG00000019420,7.883530694209667e-05
83,ENSDARG00000040198,1.2403403102642249e-33,ENSDARG00000098080,5.18000903484203e-18,ENSDARG00000036510,2.8075960557286296e-38,ENSDARG00000036848,1.1602990181120573e-14,ENSDARG00000056966,2.733842279683599e-26,ENSDARG00000021442,3.6058831425554096e-36,ENSDARG00000068246,1.2767907133654105e-08,ENSDARG00000071060,2.6385097762891586e-22,ENSDARG00000040041,9.213380724997916e-81,ENSDARG00000019228,1.0658729526755714e-07,ENSDARG00000002401,7.955924430933458e-139,ENSDARG00000011055,6.8272405231918254e-37,ENSDARG00000039211,1.439492561223507e-98,ENSDARG00000002240,1.8884032249992395e-154,ENSDARG00000013990,2.1706845577345184e-09,ENSDARG00000101028,0.00010549736770665862,ENSDARG00000020840,2.8970636710101002e-06,ENSDARG00000055976,1.2641297894417769e-12,ENSDARG00000014430,2.4792398649763898e-05,ENSDARG00000103320,4.149959874157125e-08,ENSDARG00000071087,5.285233944080728e-08,ENSDARG00000087556,0.0029896536955523996,ENSDARG00000018658,0.0032542057382406765,ENSDARG00000052419,1.4861422680051526e-79,ENSDARG00000034801,0.0004597830350008712,ENSDARG00000036510,9.987331657603265e-77,ENSDARG00000102827,3.295881509369187e-32,ENSDARG00000019355,2.887600769259918e-12,ENSDARG00000003938,8.17696403257342e-05
84,ENSDARG00000024324,1.3224443483522895e-33,ENSDARG00000101024,5.738987795152937e-18,ENSDARG00000054666,7.299656354826196e-38,ENSDARG00000090654,1.1774710256947049e-14,ENSDARG00000074131,3.256159521778169e-26,ENSDARG00000014004,5.253827154290108e-36,ENSDARG00000091576,1.2876544641708991e-08,ENSDARG00000056090,7.162360017931765e-22,ENSDARG00000005945,1.0677557777657543e-80,ENSDARG00000056101,1.0687668838321315e-07,ENSDARG00000060853,1.1560255104077629e-138,ENSDARG00000103799,1.5339539292972835e-36,ENSDARG00000018426,1.8200085040534253e-98,ENSDARG00000061169,5.184617959474824e-154,ENSDARG00000063031,2.2099508052446022e-09,ENSDARG00000007808,0.00011823897431275923,ENSDARG00000077614,2.9477033425891523e-06,ENSDARG00000096829,4.57188447941431e-12,ENSDARG00000062594,2.5219611263456044e-05,ENSDARG00000044339,4.525899329596527e-08,ENSDARG00000000103,5.405818847609994e-08,ENSDARG00000078847,0.0037608701243069804,ENSDARG00000037267,0.003294273335591671,ENSDARG00000074266,4.6208478357831906e-79,ENSDARG00000068708,0.00047918477573133237,ENSDARG00000029011,2.0241292138089567e-76,ENSDARG00000008188,5.443893479577743e-32,ENSDARG00000044062,3.0577474679511983e-12,ENSDARG00000014004,8.894941544677544e-05
85,ENSDARG00000104139,2.2600411032225832e-33,ENSDARG00000032431,5.9057504843078164e-18,ENSDARG00000037158,9.122474044139143e-38,ENSDARG00000062558,1.188254197137732e-14,ENSDARG00000004470,3.885044403276765e-26,ENSDARG00000094010,1.905782413040346e-34,ENSDARG00000038801,1.295852803839098e-08,ENSDARG00000018782,9.63053790383965e-22,ENSDARG00000037503,1.3750841332260815e-80,ENSDARG00000034368,1.1811389578682883e-07,ENSDARG00000003531,2.1172921069150028e-138,ENSDARG00000098130,4.681547829069532e-36,ENSDARG00000041155,2.1443682153015086e-98,ENSDARG00000042458,1.4906005825015052e-151,ENSDARG00000105321,2.3514235621767455e-09,ENSDARG00000102705,0.00011849873660088543,ENSDARG00000014171,3.1010127181121012e-06,ENSDARG00000042854,5.550878463213188e-12,ENSDARG00000060362,3.2679167780487966e-05,ENSDARG00000079564,4.633647904740225e-08,ENSDARG00000016513,7.557424578830831e-08,ENSDARG00000076379,0.004150065384318231,ENSDARG00000034518,0.0033420833437448573,ENSDARG00000054155,1.318906735173172e-78,ENSDARG00000043905,0.0004879639154389337,ENSDARG00000056964,2.4373607681701153e-76,ENSDARG00000010149,9.241590389914901e-32,ENSDARG00000077407,3.2234875803143873e-12,ENSDARG00000099358,9.729330764535382e-05
86,ENSDARG00000011299,4.5454907187574316e-33,ENSDARG00000008740,1.1429771723564901e-17,ENSDARG00000014898,1.2327404016619866e-37,ENSDARG00000104733,1.2122955507984685e-14,ENSDARG00000037020,4.124407342838556e-26,ENSDARG00000008395,3.965898551965426e-34,ENSDARG00000037267,1.3618983102279459e-08,ENSDARG00000016368,1.0863020399001345e-21,ENSDARG00000076486,2.1632097738515436e-80,ENSDARG00000032431,1.206599832120713e-07,ENSDARG00000035872,6.449417452772517e-138,ENSDARG00000077383,1.0997723564045356e-34,ENSDARG00000007216,1.736789688018617e-97,ENSDARG00000039980,2.1505442715715562e-151,ENSDARG00000060362,2.42043002920561e-09,ENSDARG00000090654,0.00012371581580556787,ENSDARG00000062382,3.4866944274410003e-06,ENSDARG00000068305,7.002632305413013e-12,ENSDARG00000040198,3.704265705009994e-05,ENSDARG00000061580,5.400398783631566e-08,ENSDARG00000016233,8.908270163925173e-08,ENSDARG00000070801,0.004237602640016235,ENSDARG00000028088,0.0033479895573189505,ENSDARG00000044852,1.9100178875610493e-77,ENSDARG00000023578,0.0004935620524141982,ENSDARG00000010301,3.901300109015634e-76,ENSDARG00000077526,1.1694335439840505e-31,ENSDARG00000046006,3.235433706362823e-12,ENSDARG00000100741,0.00010564986315718584
87,ENSDARG00000091576,8.389478395012377e-33,ENSDARG00000034518,1.485310025926878e-17,ENSDARG00000017781,1.2559611067193448e-37,ENSDARG00000058076,2.2649989740117448e-14,ENSDARG00000044332,4.271298738985779e-26,ENSDARG00000029472,1.2329848372633595e-33,ENSDARG00000007624,1.3694498459596064e-08,ENSDARG00000058425,1.0986682511341405e-21,ENSDARG00000100209,2.2738513412731756e-80,ENSDARG00000039456,1.2407524831400692e-07,ENSDARG00000036482,5.824465532235433e-133,ENSDARG00000030765,1.3907594371841984e-34,ENSDARG00000074869,2.9574579186052036e-97,ENSDARG00000057782,2.3150527254770844e-144,ENSDARG00000098486,2.613155604311125e-09,ENSDARG00000014430,0.00014299975701164712,ENSDARG00000103025,3.884003688073905e-06,ENSDARG00000056510,1.1989055013772136e-11,ENSDARG00000069157,3.759761905119016e-05,ENSDARG00000028088,6.378713382651943e-08,ENSDARG00000055976,1.1480520852223683e-07,ENSDARG00000103025,0.004267023405334672,ENSDARG00000043571,0.003384180681676618,ENSDARG00000011272,7.356762024420192e-75,ENSDARG00000007867,0.0005363760952309381,ENSDARG00000030716,4.75236572790753e-76,ENSDARG00000031216,1.8735267807364914e-31,ENSDARG00000070447,3.2585953820206458e-12,ENSDARG00000078653,0.00010645938507011015
88,ENSDARG00000014430,8.654395701978201e-33,ENSDARG00000020217,1.546167889986868e-17,ENSDARG00000013016,1.7157077994826937e-37,ENSDARG00000040198,2.8092752600933254e-14,ENSDARG00000037929,4.34061823175766e-26,ENSDARG00000039269,1.689248710417554e-33,ENSDARG00000038429,1.4354000838318658e-08,ENSDARG00000103025,1.1458150006996833e-21,ENSDARG00000100514,2.315554662392359e-79,ENSDARG00000068246,1.2433948448935674e-07,ENSDARG00000100850,6.567501597032258e-133,ENSDARG00000042853,1.536780848250331e-34,ENSDARG00000037559,2.3760587708231324e-96,ENSDARG00000023151,3.3330640688575185e-139,ENSDARG00000077751,2.777527802915118e-09,ENSDARG00000056101,0.0001460366515505937,ENSDARG00000039456,3.91658733870282e-06,ENSDARG00000040890,1.407575096805014e-11,ENSDARG00000020845,4.070188122261891e-05,ENSDARG00000036092,6.390169555915806e-08,ENSDARG00000053518,1.1951173562418497e-07,ENSDARG00000061579,0.004294973775525492,ENSDARG00000045515,0.003402687784418134,ENSDARG00000045913,8.875544461650993e-75,ENSDARG00000012140,0.0005379577692250088,ENSDARG00000059150,5.167899483606973e-76,ENSDARG00000021753,2.2435205292387137e-31,ENSDARG00000101024,3.411807983655004e-12,ENSDARG00000094010,0.0001091457934125347
89,ENSDARG00000062558,1.0344144560377537e-32,ENSDARG00000089232,2.0728223263606302e-17,ENSDARG00000020448,2.337149394055294e-37,ENSDARG00000023958,2.880778747117865e-14,ENSDARG00000015221,4.935399225466827e-26,ENSDARG00000034368,1.874314449314821e-33,ENSDARG00000020845,1.4972471765989236e-08,ENSDARG00000059079,1.2552832874027305e-21,ENSDARG00000054666,3.7219691544509556e-79,ENSDARG00000090654,1.2972093918706184e-07,ENSDARG00000102883,4.8433388257318655e-132,ENSDARG00000039493,2.0347647376072806e-34,ENSDARG00000007526,6.466035634357963e-95,ENSDARG00000018524,4.299927704148746e-136,ENSDARG00000092858,2.851355511360545e-09,ENSDARG00000098967,0.00015045904524575853,ENSDARG00000060288,4.108062232448706e-06,ENSDARG00000045351,1.6425526850933117e-11,ENSDARG00000037030,4.330593050277394e-05,ENSDARG00000045351,7.595950937342716e-08,ENSDARG00000100531,1.9266699723971398e-07,ENSDARG00000008490,0.0044804413179003804,ENSDARG00000104768,0.00340853657727124,ENSDARG00000052721,2.0763668824786157e-74,ENSDARG00000020845,0.0005422010248576616,ENSDARG00000005945,7.014063466152353e-76,ENSDARG00000035751,4.217036993864502e-31,ENSDARG00000043288,3.470225873731453e-12,ENSDARG00000099640,0.0001130420070966752
90,ENSDARG00000102995,1.0725321145151473e-32,ENSDARG00000088619,2.821812910300142e-17,ENSDARG00000007216,3.4771134982943475e-37,ENSDARG00000063031,5.425645113829358e-14,ENSDARG00000009106,8.382764360434357e-26,ENSDARG00000103831,3.768324165537834e-33,ENSDARG00000028971,1.8008656420163188e-08,ENSDARG00000098431,1.5418233319955768e-21,ENSDARG00000070108,8.101963046174124e-79,ENSDARG00000040965,1.3407151188053968e-07,ENSDARG00000030265,5.770532211179265e-131,ENSDARG00000030241,4.679616167889733e-33,ENSDARG00000045019,5.01376252470675e-94,ENSDARG00000037962,1.884474617553238e-135,ENSDARG00000029936,3.2790559524493753e-09,ENSDARG00000010773,0.00015360341072843416,ENSDARG00000068156,4.694873122770549e-06,ENSDARG00000002405,1.8761706747776432e-11,ENSDARG00000021097,4.330593050277394e-05,ENSDARG00000038787,1.47822027847732e-07,ENSDARG00000054848,2.2540710998811486e-07,ENSDARG00000068246,0.004773084291744101,ENSDARG00000014430,0.0034733540297434765,ENSDARG00000035751,3.0456328684365216e-74,ENSDARG00000087556,0.0005626978958893243,ENSDARG00000021107,3.380848030605105e-75,ENSDARG00000054793,8.533843140017403e-31,ENSDARG00000100435,3.4772526587777057e-12,ENSDARG00000021112,0.00012711817927279912
91,ENSDARG00000052515,1.4366122512474646e-32,ENSDARG00000007624,3.4457377714336713e-17,ENSDARG00000029011,4.402033010128127e-37,ENSDARG00000057736,7.194641043236007e-14,ENSDARG00000052271,8.464422950011214e-26,ENSDARG00000091418,4.6200422510375105e-33,ENSDARG00000104139,2.4348666461994234e-08,ENSDARG00000020008,4.406175412893597e-21,ENSDARG00000037397,1.5542695864917636e-78,ENSDARG00000087528,1.3417216853888553e-07,ENSDARG00000018809,8.618053970801827e-130,ENSDARG00000058148,6.0302720317754775e-33,ENSDARG00000043502,7.23937527885741e-94,ENSDARG00000105018,1.895203742505384e-134,ENSDARG00000045563,3.537881360713135e-09,ENSDARG00000071198,0.00015881310560275899,ENSDARG00000026185,5.796832172507049e-06,ENSDARG00000017180,2.1490458506552432e-11,ENSDARG00000101028,5.410769378850001e-05,ENSDARG00000026024,1.7928013926772613e-07,ENSDARG00000098431,2.633383879369403e-07,ENSDARG00000056101,0.004920897132321066,ENSDARG00000102889,0.0034991812548150784,ENSDARG00000001994,2.473794558102639e-72,ENSDARG00000002405,0.0005692024652239593,ENSDARG00000062315,4.971476212604416e-75,ENSDARG00000052674,1.9406198077112962e-30,ENSDARG00000043797,4.308185191046544e-12,ENSDARG00000036481,0.0001419759139345948
92,ENSDARG00000035505,2.7732025461326013e-32,ENSDARG00000055885,3.9433640287114516e-17,ENSDARG00000017891,5.119651831287053e-37,ENSDARG00000060522,8.534969438062154e-14,ENSDARG00000030236,1.5443734237800436e-25,ENSDARG00000035152,2.794779302487983e-32,ENSDARG00000021097,2.544083024492141e-08,ENSDARG00000097478,6.327927942339558e-21,ENSDARG00000079391,4.754726376027945e-78,ENSDARG00000042272,1.34756722958145e-07,ENSDARG00000027803,4.076694683459742e-129,ENSDARG00000061228,9.279242126181327e-33,ENSDARG00000003531,7.681220663401101e-94,ENSDARG00000005359,2.701875436506355e-134,ENSDARG00000018809,3.977867296461726e-09,ENSDARG00000091576,0.00016128306030033728,ENSDARG00000040163,5.899381457070393e-06,ENSDARG00000028322,2.2834471032731627e-11,ENSDARG00000043571,6.454715660434035e-05,ENSDARG00000040314,1.9868023034376204e-07,ENSDARG00000042975,2.9374288496570725e-07,ENSDARG00000007196,0.005390156381966316,ENSDARG00000055314,0.0036823945665740037,ENSDARG00000061490,3.2783185100875286e-72,ENSDARG00000038429,0.0005692090375574999,ENSDARG00000045913,2.0467758604527466e-73,ENSDARG00000013938,3.479591460296785e-30,ENSDARG00000078675,4.557413789833196e-12,ENSDARG00000053950,0.0001553014140335219
93,ENSDARG00000090654,4.828680983473691e-32,ENSDARG00000053691,4.048761083222179e-17,ENSDARG00000004785,6.80726543497957e-37,ENSDARG00000052074,9.287832864255784e-14,ENSDARG00000039980,3.241460455020282e-25,ENSDARG00000019420,4.974815826384813e-32,ENSDARG00000040615,2.81668159999374e-08,ENSDARG00000101560,8.00570910586006e-21,ENSDARG00000015239,8.627310850373778e-78,ENSDARG00000060069,1.5126505303456906e-07,ENSDARG00000013750,4.349411069340348e-128,ENSDARG00000070589,8.641441465172449e-32,ENSDARG00000036073,8.162320869844405e-92,ENSDARG00000031720,4.2036772445427515e-134,ENSDARG00000010956,4.344775362749621e-09,ENSDARG00000097193,0.00016869075392625924,ENSDARG00000076602,6.326349405135806e-06,ENSDARG00000028088,2.507152429349638e-11,ENSDARG00000058108,7.562379427846057e-05,ENSDARG00000017337,2.3513227161149868e-07,ENSDARG00000062568,7.096167257709809e-07,ENSDARG00000103320,0.005475141851809754,ENSDARG00000042840,0.003687048887849393,ENSDARG00000021346,2.3456884983085546e-70,ENSDARG00000061579,0.0005783465027340873,ENSDARG00000061774,2.1272284978576184e-73,ENSDARG00000017675,1.2182963921020096e-29,ENSDARG00000071031,4.5699896136908826e-12,ENSDARG00000020494,0.00016329607696529878
94,ENSDARG00000045228,5.264646681893285e-32,ENSDARG00000038428,4.3416111312124056e-17,ENSDARG00000011079,9.498060852669484e-37,ENSDARG00000028699,1.0168497718191873e-13,ENSDARG00000061580,7.005465956353087e-25,ENSDARG00000005372,5.198533750883567e-32,ENSDARG00000060501,3.094593455570094e-08,ENSDARG00000104508,1.7628777604298315e-20,ENSDARG00000076416,9.739207621929451e-78,ENSDARG00000088140,1.5347180360628282e-07,ENSDARG00000033609,2.0274190270940626e-127,ENSDARG00000068156,1.969083931530554e-31,ENSDARG00000027803,3.9609117833653653e-91,ENSDARG00000002745,6.109544809340435e-134,ENSDARG00000035544,4.555669883106156e-09,ENSDARG00000021812,0.00017695278230309513,ENSDARG00000059079,6.355713750692372e-06,ENSDARG00000099966,4.624721383251581e-11,ENSDARG00000042115,8.089183173759688e-05,ENSDARG00000060362,3.561660982426931e-07,ENSDARG00000017781,9.69896344141347e-07,ENSDARG00000090654,0.005847388309837514,ENSDARG00000034801,0.0037027132539837276,ENSDARG00000030789,5.074605155840963e-69,ENSDARG00000031796,0.0006121944602717267,ENSDARG00000020448,2.579313954060932e-73,ENSDARG00000006899,5.973558940980778e-29,ENSDARG00000099458,4.70194814269848e-12,ENSDARG00000013016,0.00016956136013196403
95,ENSDARG00000101982,5.857735911508181e-32,ENSDARG00000087784,5.2152736472480673e-17,ENSDARG00000070046,1.4642905765971167e-36,ENSDARG00000058108,1.0330666771975017e-13,ENSDARG00000005754,7.367398691450517e-25,ENSDARG00000063195,4.516871742810645e-31,ENSDARG00000103095,3.277545033009789e-08,ENSDARG00000015315,2.3282904218329352e-20,ENSDARG00000023188,3.1024086969361835e-77,ENSDARG00000038910,1.9064530307652878e-07,ENSDARG00000078653,1.3895994969529577e-126,ENSDARG00000078751,5.8455034211583255e-31,ENSDARG00000002745,9.829932668491393e-91,ENSDARG00000097478,9.07512580587001e-131,ENSDARG00000041108,4.5880153834224455e-09,ENSDARG00000021097,0.00018506832118146064,ENSDARG00000029905,6.470588038846515e-06,ENSDARG00000018600,4.7206995806086087e-11,ENSDARG00000070448,8.510770868127759e-05,ENSDARG00000035149,3.8163599233746967e-07,ENSDARG00000079564,1.0818101196020097e-06,ENSDARG00000027547,0.005895230858739049,ENSDARG00000029936,0.003739779785608742,ENSDARG00000021107,1.1857314095694792e-68,ENSDARG00000012763,0.0006455026196893339,ENSDARG00000024654,3.0962577934007295e-73,ENSDARG00000098671,2.2006328950594776e-28,ENSDARG00000027547,5.412997928648435e-12,ENSDARG00000019004,0.00017382854891395832
96,ENSDARG00000028276,8.095546098078554e-32,ENSDARG00000035505,6.55515454482727e-17,ENSDARG00000089663,2.718422510169542e-36,ENSDARG00000028276,1.1258357373149405e-13,ENSDARG00000019326,1.2139172037912382e-24,ENSDARG00000007657,9.55643332608948e-31,ENSDARG00000044781,3.331098784190941e-08,ENSDARG00000074246,2.6986900499720192e-20,ENSDARG00000012672,4.688259879595528e-77,ENSDARG00000016304,1.9070871073921227e-07,ENSDARG00000095459,5.886147945561804e-126,ENSDARG00000068176,1.3561902761927888e-30,ENSDARG00000094010,1.745575789225393e-90,ENSDARG00000007216,9.469630908875909e-128,ENSDARG00000000861,4.761882258104929e-09,ENSDARG00000035544,0.0002051714071802843,ENSDARG00000092154,7.121751067705781e-06,ENSDARG00000039093,4.8030540874249215e-11,ENSDARG00000061580,9.058983920307764e-05,ENSDARG00000043467,4.5469677957390567e-07,ENSDARG00000098224,1.1401597807843173e-06,ENSDARG00000098783,0.006349867566244731,ENSDARG00000098766,0.003752300176173785,ENSDARG00000076486,1.24575410541609e-68,ENSDARG00000026024,0.0006638273822780181,ENSDARG00000020101,4.395136194312266e-73,ENSDARG00000052480,6.708998666620002e-28,ENSDARG00000026185,6.471947086309261e-12,ENSDARG00000037855,0.00020037464662212544
97,ENSDARG00000042840,8.133302397567392e-32,ENSDARG00000011079,6.694942458265207e-17,ENSDARG00000035573,3.622731252094714e-36,ENSDARG00000079932,1.76100937109787e-13,ENSDARG00000020449,1.5021005087751485e-24,ENSDARG00000014361,2.720643413382387e-29,ENSDARG00000101028,3.506056858540053e-08,ENSDARG00000070028,6.495069309100099e-20,ENSDARG00000087640,5.898170886398006e-77,ENSDARG00000039279,1.9368061067267806e-07,ENSDARG00000043502,2.903644667738554e-125,ENSDARG00000039887,9.090496703885432e-30,ENSDARG00000063095,2.0793984322355385e-90,ENSDARG00000076416,4.806699033995591e-125,ENSDARG00000104242,4.93247996720781e-09,ENSDARG00000039215,0.0002196429436498055,ENSDARG00000012763,8.906071731167686e-06,ENSDARG00000026024,1.3944114160731388e-10,ENSDARG00000012763,9.777043710846022e-05,ENSDARG00000021059,5.153176077346717e-07,ENSDARG00000042128,1.169861722244913e-06,ENSDARG00000036092,0.006693004900483343,ENSDARG00000009473,0.003916529943010314,ENSDARG00000070019,2.686968258529503e-67,ENSDARG00000045228,0.0006982237862130002,ENSDARG00000077870,5.933821104116803e-73,ENSDARG00000037962,1.0807235491292882e-27,ENSDARG00000102511,6.7582630701591865e-12,ENSDARG00000038524,0.0002022380290458929
98,ENSDARG00000078599,9.653339313599046e-32,ENSDARG00000076602,6.72135667327239e-17,ENSDARG00000016871,5.601907072624681e-36,ENSDARG00000011299,2.0702324575149922e-13,ENSDARG00000076066,2.1994967240366736e-24,ENSDARG00000061490,5.889868149829785e-29,ENSDARG00000004906,3.891489661954388e-08,ENSDARG00000104149,8.739617315251872e-20,ENSDARG00000030789,1.9383014554151228e-76,ENSDARG00000063031,2.2369214291801095e-07,ENSDARG00000046074,5.788202134540845e-123,ENSDARG00000068064,1.505590854008749e-29,ENSDARG00000074266,6.160669613920539e-90,ENSDARG00000021107,2.0064474150215145e-118,ENSDARG00000039279,5.1631011402017136e-09,ENSDARG00000024324,0.00022098474179416719,ENSDARG00000074507,1.071171134409314e-05,ENSDARG00000014806,1.4151314665048788e-10,ENSDARG00000098215,0.00010423231078295136,ENSDARG00000090462,6.455960207776756e-07,ENSDARG00000017180,1.466286749160772e-06,ENSDARG00000030824,0.0073703905408439565,ENSDARG00000100385,0.004004779110378574,ENSDARG00000099730,9.387329500193257e-67,ENSDARG00000021209,0.0007229423230297821,ENSDARG00000100209,1.1912342619553754e-72,ENSDARG00000101762,6.695947854044944e-27,ENSDARG00000059866,6.854251036552144e-12,ENSDARG00000007657,0.00021066783339721476
